T,act_MB,unfused_ms,norm_only_ms,gemm_only_ms,fused_ms,gain,gain_min,gain_max,gain_spread_pct,BLOCK_N,n_tiles,sq_redundancy,rel_err_unfused,rel_err_fused,norm_cfg,unfused_cfg,fused_cfg,worker
1,0.0117,0.0724,0.0225,0.0627,0.1111,0.6521,0.6498,0.6567,1.0601,32,8,8,3.316486981930211e-06,0.0030715835746377707,ROWS2 BLOCK_N8192 num_warps8 num_stages2 grid_capNone,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M8 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M1 num_warps4 num_stages3,gpu0
2,0.0234,0.0699,0.0197,0.063,0.1116,0.6247,0.6239,0.6284,0.7343,32,8,8,3.262117616031901e-06,0.003276015631854534,ROWS1 BLOCK_N8192 num_warps8 num_stages2 grid_capNone,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M1 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M1 num_warps4 num_stages3,gpu3
4,0.0469,0.0745,0.0197,0.0676,0.1116,0.6659,0.6651,0.6674,0.3444,32,8,8,3.1737481549498625e-06,0.003127155127003789,ROWS1 BLOCK_N8192 num_warps8 num_stages4 grid_capNone,BLOCK_M32 BLOCK_N32 BLOCK_K128 GROUP_M1 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M16 num_warps4 num_stages3,gpu0
8,0.0938,0.0699,0.0197,0.063,0.1124,0.6219,0.6205,0.6253,0.7771,32,8,8,2.668199158506468e-06,0.002346024150028825,ROWS1 BLOCK_N8192 num_warps8 num_stages2 grid_capNone,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M4 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M8 num_warps4 num_stages3,gpu1
16,0.1875,0.0696,0.0195,0.0632,0.1111,0.6267,0.6239,0.6267,0.4587,32,8,8,3.2811637993290788e-06,0.002346015302464366,ROWS1 BLOCK_N8192 num_warps8 num_stages2 grid_capNone,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M1 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M1 num_warps4 num_stages1,gpu1
32,0.375,0.0699,0.0197,0.063,0.1106,0.6319,0.6319,0.6334,0.232,32,8,8,3.2451071092509665e-06,0.0023612480144947767,ROWS1 BLOCK_N8192 num_warps8 num_stages2 grid_capNone,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M1 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M1 num_warps4 num_stages1,gpu0
48,0.5625,0.0707,0.0205,0.0637,0.1091,0.6494,0.6479,0.6526,0.7229,32,8,8,0.0003251326852478087,0.0024546643253415823,ROWS1 BLOCK_N8192 num_warps16 num_stages2 grid_capNone,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M4 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M16 num_warps4 num_stages1,gpu3
64,0.75,0.0704,0.0202,0.0635,0.1101,0.6419,0.6357,0.6464,1.6576,32,8,8,0.0002900047693401575,0.0021893952507525682,ROWS1 BLOCK_N8192 num_warps8 num_stages4 grid_capNone,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M8 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M1 num_warps4 num_stages1,gpu1
96,1.125,0.0712,0.0212,0.0632,0.1101,0.6465,0.645,0.6488,0.5917,32,8,8,0.00028994042077101767,0.002259914530441165,ROWS1 BLOCK_N8192 num_warps8 num_stages2 grid_capNone,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M1 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M8 num_warps4 num_stages1,gpu0
128,1.5,0.0735,0.0233,0.0635,0.1111,0.6613,0.6613,0.6621,0.1177,32,8,8,0.000289924384560436,0.002259914530441165,ROWS1 BLOCK_N8192 num_warps8 num_stages2 grid_capNone,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M8 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M16 num_warps4 num_stages1,gpu0
192,2.25,0.0776,0.0266,0.066,0.1144,0.6763,0.6756,0.6794,0.5555,32,8,8,0.0003446292248554528,0.002644509542733431,ROWS1 BLOCK_N8192 num_warps8 num_stages2 grid_capNone,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M4 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M8 num_warps4 num_stages4,gpu3
256,3.0,0.0819,0.0276,0.0686,0.116,0.7064,0.7048,0.7095,0.6637,32,8,8,0.0003444701724220067,0.002644413383677602,ROWS1 BLOCK_N8192 num_warps8 num_stages2 grid_capNone,BLOCK_M32 BLOCK_N32 BLOCK_K128 GROUP_M8 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M8 num_warps4 num_stages4,gpu1
320,3.75,0.0883,0.0305,0.0717,0.1144,0.7735,0.7684,0.7765,1.0535,32,8,8,0.0003902614989783615,0.0026156732346862555,ROWS2 BLOCK_N8192 num_warps4 num_stages2 grid_capNone,BLOCK_M32 BLOCK_N32 BLOCK_K64 GROUP_M4 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M8 num_warps4 num_stages1,gpu0
384,4.5,0.0883,0.033,0.0714,0.1178,0.75,0.7451,0.7543,1.2277,32,8,8,0.0003902614989783615,0.0026156732346862555,ROWS1 BLOCK_N8192 num_warps4 num_stages3 grid_capNone,BLOCK_M32 BLOCK_N32 BLOCK_K128 GROUP_M8 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M8 num_warps4 num_stages1,gpu3
