T,act_MB,unfused_ms,norm_only_ms,gemm_only_ms,fused_ms,gain,gain_min,gain_max,gain_spread_pct,BLOCK_N,n_tiles,sq_redundancy,rel_err_unfused,rel_err_fused,norm_cfg,unfused_cfg,fused_cfg,worker
256,3.0,0.0819,0.0274,0.0686,0.1139,0.7191,0.7121,0.7223,1.4315,32,8,8,0.0003444701724220067,0.002644413383677602,ROWS1 BLOCK_N8192 num_warps8 num_stages2 grid_capNone,BLOCK_M32 BLOCK_N32 BLOCK_K128 GROUP_M1 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K128 GROUP_M4 num_warps4 num_stages1,gpu1
512,6.0,0.1157,0.034,0.0968,0.1357,0.8528,0.8496,0.8531,0.4084,32,8,8,0.00038333528209477663,0.0031446025241166353,ROWS1 BLOCK_N8192 num_warps4 num_stages3 grid_capNone,BLOCK_M32 BLOCK_N32 BLOCK_K64 GROUP_M8 num_warps4 num_stages3,BLOCK_M32 BLOCK_N32 BLOCK_K128 GROUP_M8 num_warps4 num_stages1,gpu0
1024,12.0,0.1388,0.0461,0.1068,0.1823,0.7612,0.7591,0.7645,0.7032,32,8,8,0.0003990571713075042,0.0028001656755805016,ROWS1 BLOCK_N8192 num_warps4 num_stages3 grid_capNone,BLOCK_M64 BLOCK_N64 BLOCK_K64 GROUP_M4 num_warps4 num_stages4,BLOCK_M32 BLOCK_N32 BLOCK_K64 GROUP_M8 num_warps4 num_stages3,gpu1
2048,24.0,0.2163,0.0717,0.1577,0.2273,0.9505,0.9448,0.9594,1.5354,64,4,4,0.000290029332973063,0.002253593411296606,ROWS1 BLOCK_N8192 num_warps4 num_stages3 grid_capNone,BLOCK_M64 BLOCK_N64 BLOCK_K64 GROUP_M16 num_warps4 num_stages4,BLOCK_M64 BLOCK_N64 BLOCK_K64 GROUP_M8 num_warps4 num_stages1,gpu1
4096,48.0,0.3471,0.1211,0.2406,0.3382,1.0257,1.0242,1.0312,0.6811,128,2,2,0.00034499302273616195,0.002719760872423649,ROWS1 BLOCK_N8192 num_warps4 num_stages3 grid_capNone,BLOCK_M64 BLOCK_N64 BLOCK_K64 GROUP_M8 num_warps4 num_stages3,BLOCK_M64 BLOCK_N128 BLOCK_K64 GROUP_M8 num_warps4 num_stages1,gpu1
8192,96.0,0.5796,0.2196,0.3753,0.4879,1.1878,1.1867,1.1886,0.1574,64,4,4,0.0003525214269757271,0.002792228711768985,ROWS1 BLOCK_N8192 num_warps4 num_stages3 grid_capNone,BLOCK_M64 BLOCK_N64 BLOCK_K64 GROUP_M16 num_warps4 num_stages3,BLOCK_M64 BLOCK_N64 BLOCK_K64 GROUP_M1 num_warps4 num_stages1,gpu0
16384,192.0,1.0826,0.4147,0.6799,0.7995,1.3541,1.3528,1.359,0.458,128,2,2,0.0003113269922323525,0.0025679608806967735,ROWS1 BLOCK_N8192 num_warps4 num_stages3 grid_capNone,BLOCK_M64 BLOCK_N128 BLOCK_K32 GROUP_M1 num_warps4 num_stages3,BLOCK_M64 BLOCK_N128 BLOCK_K32 GROUP_M1 num_warps4 num_stages1,gpu1
32768,384.0,2.0989,0.8105,1.3033,1.5657,1.3406,1.3383,1.3416,0.2489,128,2,2,0.0006043661269359291,0.0027056511025875807,ROWS1 BLOCK_N8192 num_warps4 num_stages2 grid_capNone,BLOCK_M64 BLOCK_N128 BLOCK_K32 GROUP_M4 num_warps4 num_stages3,BLOCK_M64 BLOCK_N128 BLOCK_K32 GROUP_M4 num_warps4 num_stages1,gpu3
65536,768.0,4.1316,1.5959,2.5495,2.9284,1.4109,1.4025,1.4202,1.2534,128,2,2,0.0005789121496491134,0.0028658146038651466,ROWS1 BLOCK_N8192 num_warps4 num_stages3 grid_capNone,BLOCK_M64 BLOCK_N128 BLOCK_K32 GROUP_M1 num_warps4 num_stages3,BLOCK_M64 BLOCK_N128 BLOCK_K32 GROUP_M1 num_warps4 num_stages1,gpu3
131072,1536.0,8.1997,3.1693,5.0455,5.8959,1.3912,1.385,1.3926,0.5497,128,2,2,0.00042531153303571045,0.0026059644296765327,ROWS1 BLOCK_N8192 num_warps4 num_stages3 grid_capNone,BLOCK_M64 BLOCK_N128 BLOCK_K32 GROUP_M4 num_warps4 num_stages3,BLOCK_M64 BLOCK_N128 BLOCK_K32 GROUP_M1 num_warps4 num_stages1,gpu1
262144,3072.0,16.215,6.3155,9.9118,11.6216,1.3952,1.3895,1.3999,0.748,128,2,2,0.0005802969099022448,0.002795139793306589,ROWS1 BLOCK_N8192 num_warps4 num_stages3 grid_capNone,BLOCK_M64 BLOCK_N128 BLOCK_K32 GROUP_M4 num_warps4 num_stages3,BLOCK_M64 BLOCK_N128 BLOCK_K32 GROUP_M1 num_warps4 num_stages1,gpu0
