fusion,variant,replicates,coda_correspondence,fused_ms,fused_mapping,unfused_total_ms,speedup,n_unfused_kernels,unfused_k1_name,unfused_k1_ms,unfused_k1_mapping,unfused_k2_name,unfused_k2_ms,unfused_k2_mapping,unfused_k3_name,unfused_k3_ms,unfused_k3_mapping,notes
#1 o_proj + ResAdd,triton,"vendor cuBLAS-equivalent epilogue (torch.addmm, beta=1)",yes - GEMM + residual-add epilogue,0.2788,BM16 BN128 BK64 GM16 SK2 w8 s3 | cast-epi: BLK2048 w8 s1,0.2778,0.9963,2,o_proj GEMM,0.2760,BM16 BN128 BK64 GM8 SK2 w8 s3,residual add (elementwise),0.0154,BLK256 w2 s1,,,,"per-kernel split re-measured by the main session; the original run recorded only the chain total. SPLIT_K>1, so both sides also run a zero-init + fp32 cast kernel"
#3 ResAdd + RMSNorm,-,sglang fused_add_rmsnorm,no - no GEMM involved,0.0210,BN8192 ROWS1 EVICT1 w8 s2,0.0230,1.0976,2,residual add,0.0164,BN4096 ROWS1 w16 s1,rmsnorm,0.0197,BN8192 ROWS1 w8 s2,,,,fused output bitwise-identical to unfused at 4/5 regimes
#5 RMSNorm + Router,F5,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1569,BM16 BK64 BE32 NBK2048 w4 s2,0.0742,0.4731,2,rmsnorm,0.0230,BM1 BK2048 BE256 EVICT1 w8 s2,router GEMM (fp32),0.0650,BM16 BK64 BE32 w4 s2,,,,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#5 RMSNorm + Router + TopK,F5_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.3761,BM16 BK32 BE256 NBK2048 EVICT1 w8 s2,0.0911,0.2423,3,rmsnorm,0.0230,BM1 BK2048 BE256 w4 s2,router GEMM (fp32),0.0650,BM16 BK64 BE32 w4 s2,sigmoid + noaux_tc top-8,0.0307,BM4 BK32 BE256 w4 s2,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#4 ResAdd + RMSNorm + Router,F4,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1930,BM16 BK64 BE32 w4 s2,0.0755,0.3912,2,add+rmsnorm (fusion #3 already applied),0.0246,BM1 BK2048 BE256 EVICT1 w8 s2,router GEMM (fp32),0.0650,BM16 BK64 BE32 w4 s2,,,,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.4421,BM16 BK32 BE256 NBK2048 EVICT1 w8 s2,0.0927,0.2096,3,add+rmsnorm (fusion #3 already applied),0.0246,BM1 BK2048 BE256 w8 s2,router GEMM (fp32),0.0650,BM16 BK64 BE32 w4 s2,sigmoid + noaux_tc top-8,0.0307,BM4 BK32 BE256 w4 s2,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#6 Up_Gate + SwiGLU,-,sglang fused_moe_kernel (GEMM1) + silu_and_mul,yes - GEMM + activation epilogue,0.2847,BM16 BN32 BK64 GM8 w2 s4,0.2811,0.9874,2,"w13 grouped GEMM -> [rows, 2I]",0.2783,BM16 BN64 BK64 GM8 w4 s4,silu_and_mul,0.0182,BM4 BN128 w4 s2,,,,"fused BM128/BN128 is UNCOMPILABLE (96 KB SMEM vs 64 KB limit), so the fused side cannot reach the unfused winner's tile"
#8 Down + Expert Merge,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,0.1526,BM16 BN32 BK64 GM8 w4 s3,0.1531,1.0034,2,"w2 grouped down GEMM -> [rows, H]",0.1480,BM16 BN64 BK64 GM8 w4 s4,moe_sum (expert merge over top-8),0.0148,BM2 BD256 w4 s1,,,,bf16 atomics -> non-deterministic output (LOG-08 F6)
#8 Down + Expert Merge,token-major,none (custom),"partial - fused epilogue, but a different grid",0.1413,BM16 BN64 BK256 w8 s1 USE_DOT=False,0.1531,1.0833,2,"w2 grouped down GEMM -> [rows, H]",0.1480,BM16 BN64 BK64 GM8 w4 s4,moe_sum (expert merge over top-8),0.0148,BM2 BD256 w4 s1,,,,"scored against the EXPERT-major baseline; part of any win is the grid change, not the fusion (LOG-08 F3)"
#9 Down + Expert Merge + ResAdd2,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,0.1518,BM16 BN32 BK64 GM8 w4 s3,0.1556,1.0253,3,"w2 grouped down GEMM -> [rows, H]",0.1480,BM16 BN64 BK64 GM8 w4 s3,moe_sum (expert merge over top-8),0.0148,BM2 BD256 w4 s1,residual add 2,0.0154,BM1 BN512 w2 s1,"unfused_total is the 3-kernel chain; a strictly better 2-kernel baseline (moe_sum with ADD_RESIDUAL) runs 0.1523 ms -> speedup 1.003x, which LOG-09 uses; bf16 atomics -> non-deterministic output (LOG-08 F6)"
