fusion,variant,replicates,coda_correspondence,fused_ms,fused_mapping,unfused_total_ms,speedup,n_unfused_kernels,unfused_k1_name,unfused_k1_ms,unfused_k1_mapping,unfused_k2_name,unfused_k2_ms,unfused_k2_mapping,unfused_k3_name,unfused_k3_ms,unfused_k3_mapping,notes
#1 o_proj + ResAdd,triton,"vendor cuBLAS-equivalent epilogue (torch.addmm, beta=1)",yes - GEMM + residual-add epilogue,18.3834,BM128 BN128 BK64 GM1 SK1 w8 s2,15.5489,0.8458,2,o_proj GEMM,15.3449,BM128 BN128 BK32 GM8 SK1 w8 s2,residual add (elementwise),0.2145,BLK2048 w8 s1,,,,per-kernel split re-measured by the main session; the original run recorded only the chain total.
#3 ResAdd + RMSNorm,-,sglang fused_add_rmsnorm,no - no GEMM involved,0.3118,BN8192 ROWS1 w4 s1,0.4101,1.3153,2,residual add,0.2140,BN2048 ROWS1 w8 s2,rmsnorm,0.2066,BN2048 ROWS1 EVICT1 w1 s1,,,,fused output bitwise-identical to unfused at 4/5 regimes
#5 RMSNorm + Router,F5,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.8074,BM32 BK32 BE256 w4 s1,0.5491,0.6801,2,rmsnorm,0.2281,BM2 BK2048 BE256 w4 s2,router GEMM (fp32),0.3384,BM64 BK64 BE64 w4 s2,,,,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#5 RMSNorm + Router + TopK,F5_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",1.1858,BM32 BK32 BE256 NBK1024 w4 s1,0.6331,0.5339,3,rmsnorm,0.2281,BM2 BK2048 BE256 w4 s2,router GEMM (fp32),0.3384,BM64 BK64 BE64 w4 s2,sigmoid + noaux_tc top-8,0.0975,BM4 BK32 BE256 w4 s2,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#4 ResAdd + RMSNorm + Router,F4,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",1.0207,BM32 BK32 BE256 w4 s1,0.6833,0.6694,2,add+rmsnorm (fusion #3 already applied),0.3630,BM2 BK2048 BE256 EVICT1 w8 s2,router GEMM (fp32),0.3384,BM64 BK64 BE64 w4 s2,,,,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",1.3555,BM16 BK32 BE256 w4 s1,0.7677,0.5664,3,add+rmsnorm (fusion #3 already applied),0.3630,BM2 BK2048 BE256 EVICT1 w8 s2,router GEMM (fp32),0.3384,BM64 BK64 BE64 w4 s2,sigmoid + noaux_tc top-8,0.0975,BM4 BK32 BE256 w4 s2,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#6 Up_Gate + SwiGLU,-,sglang fused_moe_kernel (GEMM1) + silu_and_mul,yes - GEMM + activation epilogue,49.9581,BM128 BN64 BK64 GM1 w4 s2,38.6678,0.7740,2,"w13 grouped GEMM -> [rows, 2I]",37.9044,BM128 BN128 BK64 GM1 w16 s2,silu_and_mul,0.6223,BM4 BN2048 w4 s2,,,,"GEMM-alone taken from the interleaved re-measurement (median of 4); the sequential block recorded 52.2173 ms, which exceeds the chain it is part of and is a known one-off outlier. fused BM128/BN128 is UNCOMPILABLE (96 KB SMEM vs 64 KB limit), so the fused side cannot reach the unfused winner's tile"
#8 Down + Expert Merge,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,23.2364,BM128 BN128 BK64 GM1 w16 s2,20.2161,0.8700,2,"w2 grouped down GEMM -> [rows, H]",19.5853,BM128 BN128 BK64 GM16 w16 s2,moe_sum (expert merge over top-8),0.6444,BM2 BD1024 w16 s2,,,,bf16 atomics -> non-deterministic output (LOG-08 F6)
#8 Down + Expert Merge,token-major,none (custom),"partial - fused epilogue, but a different grid",985.7510,BM16 BN64 BK128 w8 s1 USE_DOT=False,20.2161,0.0205,2,"w2 grouped down GEMM -> [rows, H]",19.5853,BM128 BN128 BK64 GM16 w16 s2,moe_sum (expert merge over top-8),0.6444,BM2 BD1024 w16 s2,,,,"scored against the EXPERT-major baseline; part of any win is the grid change, not the fusion (LOG-08 F3)"
#9 Down + Expert Merge + ResAdd2,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,23.3403,BM128 BN128 BK64 GM1 w16 s2,20.3904,0.8736,3,"w2 grouped down GEMM -> [rows, H]",19.5853,BM128 BN128 BK64 GM4 w16 s2,moe_sum (expert merge over top-8),0.6444,BM2 BD1024 w16 s1,residual add 2,0.2913,BM2 BN512 w8 s2,"unfused_total is the 3-kernel chain; a strictly better 2-kernel baseline (moe_sum with ADD_RESIDUAL) runs 20.2806 ms -> speedup 0.869x, which LOG-09 uses; bf16 atomics -> non-deterministic output (LOG-08 F6)"
