T,rows,rows_per_expert,accum_MB,f8_unfused_ms,f8_fused_ms,f8_gain,f8_spread_pct,f8_source,f9_unfused2_ms,f9_unfused3_ms,f9_fused_ms,f9_gain_vs_2k,f9_gain_vs_3k,f9_spread_pct,f9_source
256,2048,8.0,3.0,4.1823,4.1756,1.0017,0.196,lane sweep,4.1674,4.18,4.1695,0.9994,1.0023,0.154,lane sweep
512,4096,16.0,6.0,4.5949,4.6426,0.9898,0.05,lane sweep,4.5842,4.6031,4.6405,0.988,0.9919,0.16,lane sweep
1024,8192,32.0,12.0,5.4789,6.0721,0.9024,0.042,wide re-tune,5.4984,nan,6.1156,0.899,nan,0.105,wide re-tune
2048,16384,64.0,24.0,7.9672,8.8146,0.9038,0.049,wide re-tune,7.947,nan,8.843,0.8986,nan,0.079,wide re-tune
4096,32768,128.0,48.0,11.9544,13.4815,0.8867,0.195,wide re-tune,12.364,nan,13.9359,0.8872,nan,0.178,wide re-tune
8192,65536,256.0,96.0,30.8959,33.4651,0.9238,0.582,lane sweep,29.9052,30.1645,32.6303,0.9165,0.9236,0.843,lane sweep
16384,131072,512.0,192.0,55.6529,60.0942,0.9258,0.272,lane sweep,55.2026,55.7276,59.618,0.9255,0.9345,0.233,lane sweep
32768,262144,1024.0,384.0,104.0003,115.3759,0.9014,0.227,lane sweep,101.6241,102.4719,113.365,0.896,0.9039,0.4,lane sweep
65536,524288,2048.0,768.0,196.0491,222.868,0.8798,0.129,lane sweep,192.5138,194.4218,221.0537,0.8707,0.8797,0.175,lane sweep
131072,1048576,4096.0,1536.0,375.6247,438.6698,0.8565,0.144,lane sweep,376.3789,380.0212,439.8792,0.8555,0.8646,0.185,lane sweep
262144,2097152,8192.0,3072.0,740.5862,867.7878,0.8534,0.056,lane sweep,742.1637,749.8644,871.2325,0.852,0.8608,0.083,lane sweep
