T,rows,rows_per_expert,accum_MB,unfused_ms,fused_ms,gain,gain_min,gain_max,gain_spread_pct,rel_err_unfused,rel_err_fused,unfused_cfg,moe_sum_cfg,fused_cfg,source
1,8,0.0312,0.0117,0.1528,0.1562,0.9787,0.9787,0.9803,0.1711,0.0036228785756975412,0.006765902042388916,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M8 num_warps4 num_stages4,BLOCK_M2 BLOCK_DIM512 num_warps16 num_stages1,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M16 num_warps4 num_stages3,lane sweep
2,16,0.0625,0.0234,0.257,0.2616,0.9833,0.9814,0.9853,0.398,0.004252874758094549,0.007771691307425499,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M8 num_warps4 num_stages4,BLOCK_M2 BLOCK_DIM256 num_warps8 num_stages1,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M16 num_warps8 num_stages3,lane sweep
4,32,0.125,0.0469,0.4859,0.4938,0.9839,0.9824,0.9844,0.2062,0.0034307283349335194,0.007372466381639242,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M8 num_warps4 num_stages4,BLOCK_M2 BLOCK_DIM256 num_warps4 num_stages1,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M8 num_warps8 num_stages3,lane sweep
8,64,0.25,0.0938,0.8837,0.8796,1.0049,1.0035,1.0055,0.2034,0.003971520811319351,0.008036956191062927,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M8 num_warps4 num_stages4,BLOCK_M16 BLOCK_DIM256 num_warps16 num_stages4,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M8 num_warps4 num_stages3,lane sweep
16,128,0.5,0.1875,1.5578,1.5468,1.0071,1.0061,1.0074,0.1322,0.0035058544017374516,0.007736954838037491,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M16 num_warps4 num_stages4,BLOCK_M2 BLOCK_DIM512 num_warps16 num_stages1,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M16 num_warps4 num_stages4,lane sweep
32,256,1.0,0.375,2.5766,2.5812,0.9986,0.9978,0.9992,0.1389,0.003523176535964012,0.008611730299890041,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M8 num_warps2 num_stages4,BLOCK_M2 BLOCK_DIM256 num_warps8 num_stages1,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M8 num_warps8 num_stages3,lane sweep
48,384,1.5,0.5625,3.0943,3.0633,1.01,1.0099,1.0104,0.05,0.0038530409801751375,0.008716720156371593,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M1 num_warps2 num_stages4,BLOCK_M2 BLOCK_DIM512 num_warps8 num_stages2,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M1 num_warps4 num_stages4,lane sweep
64,512,2.0,0.75,3.4481,3.4086,1.0116,1.0113,1.0117,0.0448,0.0036691054701805115,0.007990898564457893,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M1 num_warps2 num_stages4,BLOCK_M2 BLOCK_DIM256 num_warps4 num_stages2,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M1 num_warps4 num_stages4,lane sweep
96,768,3.0,1.125,3.8077,3.7903,1.0045,1.0039,1.0047,0.0812,0.004209497943520546,0.010703442618250847,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M1 num_warps2 num_stages4,BLOCK_M2 BLOCK_DIM256 num_warps4 num_stages2,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M1 num_warps4 num_stages4,lane sweep
128,1024,4.0,1.5,3.9913,3.9754,1.0041,1.003,1.0043,0.1287,0.0035032369196414948,0.010390637442469597,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M1 num_warps2 num_stages4,BLOCK_M2 BLOCK_DIM256 num_warps4 num_stages1,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M1 num_warps8 num_stages4,lane sweep
