T,rows,rows_per_expert,accum_MB,fused_ms,unfused2_ms,unfused3_ms,gain_vs_2k,gain_vs_2k_min,gain_vs_2k_max,gain_vs_3k,gain_vs_3k_min,gain_vs_3k_max,gain_spread_pct,unfused_cfg,moe_sum_res0_cfg,moe_sum_res1_cfg,resadd_cfg,fused_cfg,seed_cfg,source
1,8,0.0312,0.0117,0.1536,0.1531,0.1562,0.9967,0.995,1.0,1.0167,1.0133,1.0183,0.5008,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M8 num_warps4 num_stages4,BLOCK_M2 BLOCK_DIM256 num_warps8 num_stages1,BLOCK_M2 BLOCK_DIM256 num_warps8 num_stages3,BLOCK_M2 BLOCK_N256 num_warps4 num_stages2,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M8 num_warps4 num_stages3,impltorch,lane sweep
2,16,0.0625,0.0234,0.2621,0.2593,0.2619,0.9883,0.9863,0.9902,0.999,0.9971,1.0,0.3956,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M1 num_warps4 num_stages3,BLOCK_M2 BLOCK_DIM256 num_warps8 num_stages1,BLOCK_M2 BLOCK_DIM256 num_warps8 num_stages3,BLOCK_M2 BLOCK_N256 num_warps4 num_stages4,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M8 num_warps8 num_stages3,impltorch,lane sweep
4,32,0.125,0.0469,0.4941,0.4859,0.4882,0.9834,0.9829,0.9839,0.9876,0.987,0.9886,0.1045,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M16 num_warps4 num_stages4,BLOCK_M2 BLOCK_DIM256 num_warps8 num_stages4,BLOCK_M2 BLOCK_DIM256 num_warps8 num_stages4,BLOCK_M2 BLOCK_N128 num_warps4 num_stages2,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M16 num_warps8 num_stages3,impltorch,lane sweep
8,64,0.25,0.0938,0.8804,0.8837,0.8873,1.0038,1.0035,1.0041,1.0079,1.007,1.0081,0.058,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M1 num_warps4 num_stages4,BLOCK_M2 BLOCK_DIM256 num_warps8 num_stages1,BLOCK_M2 BLOCK_DIM256 num_warps8 num_stages1,BLOCK_M2 BLOCK_N256 num_warps8 num_stages2,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M8 num_warps4 num_stages4,impltorch,lane sweep
16,128,0.5,0.1875,1.5493,1.5583,1.5616,1.0058,1.0051,1.0063,1.0076,1.0074,1.0083,0.1152,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M8 num_warps2 num_stages4,BLOCK_M2 BLOCK_DIM256 num_warps8 num_stages1,BLOCK_M2 BLOCK_DIM512 num_warps8 num_stages4,BLOCK_M2 BLOCK_N256 num_warps8 num_stages2,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M1 num_warps4 num_stages4,impltorch,lane sweep
32,256,1.0,0.375,2.5702,2.5756,2.58,1.0021,1.0005,1.0025,1.0036,1.0021,1.0044,0.199,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M1 num_warps2 num_stages4,BLOCK_M2 BLOCK_DIM512 num_warps8 num_stages1,BLOCK_M2 BLOCK_DIM512 num_warps8 num_stages1,BLOCK_M2 BLOCK_N256 num_warps4 num_stages1,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M1 num_warps4 num_stages4,BLOCK_M16 BLOCK_N128 num_warps16 num_stages2,lane sweep
48,384,1.5,0.5625,3.0664,3.0932,3.1017,1.0087,1.0085,1.0091,1.0114,1.0114,1.0119,0.0585,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M1 num_warps2 num_stages4,BLOCK_M16 BLOCK_DIM256 num_warps16 num_stages4,BLOCK_M2 BLOCK_DIM512 num_warps8 num_stages2,BLOCK_M2 BLOCK_N256 num_warps4 num_stages3,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M1 num_warps4 num_stages4,BLOCK_M16 BLOCK_N256 num_warps4 num_stages2,lane sweep
64,512,2.0,0.75,3.4135,3.4514,3.4565,1.011,1.0109,1.0112,1.0125,1.0121,1.0129,0.0224,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M1 num_warps2 num_stages4,BLOCK_M2 BLOCK_DIM512 num_warps8 num_stages2,BLOCK_M2 BLOCK_DIM512 num_warps8 num_stages3,BLOCK_M2 BLOCK_N256 num_warps2 num_stages2,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M1 num_warps4 num_stages4,BLOCK_M2 BLOCK_N256 num_warps2 num_stages2,lane sweep
96,768,3.0,1.125,3.7967,3.8077,3.8139,1.0028,1.0024,1.0042,1.0046,1.0041,1.0055,0.1822,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M1 num_warps2 num_stages4,BLOCK_M2 BLOCK_DIM512 num_warps8 num_stages1,BLOCK_M2 BLOCK_DIM512 num_warps8 num_stages4,BLOCK_M2 BLOCK_N256 num_warps4 num_stages2,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M1 num_warps4 num_stages4,BLOCK_M32 BLOCK_N256 num_warps4 num_stages2,lane sweep
128,1024,4.0,1.5,3.9882,3.9949,4.0015,1.0017,1.0015,1.0026,1.0037,1.0033,1.0042,0.1092,BLOCK_M16 BLOCK_N32 BLOCK_K64 GROUP_M1 num_warps2 num_stages4,BLOCK_M2 BLOCK_DIM512 num_warps8 num_stages1,BLOCK_M2 BLOCK_DIM512 num_warps8 num_stages3,BLOCK_M2 BLOCK_N256 num_warps4 num_stages2,BLOCK_M16 BLOCK_N64 BLOCK_K64 GROUP_M1 num_warps8 num_stages4,BLOCK_M16 BLOCK_N256 num_warps4 num_stages2,lane sweep
