fusion,variant,replicates,coda_correspondence,fused_ms,fused_mapping,unfused_total_ms,speedup,n_unfused_kernels,unfused_k1_name,unfused_k1_ms,unfused_k1_mapping,unfused_k2_name,unfused_k2_ms,unfused_k2_mapping,unfused_k3_name,unfused_k3_ms,unfused_k3_mapping,notes
#1 o_proj + ResAdd,triton,"vendor cuBLAS-equivalent epilogue (torch.addmm, beta=1)",yes - GEMM + residual-add epilogue,2.4602,BM64 BN256 BK32 GM16 w8 s2,2.4719,1.0048,2,o_proj GEMM,2.4571,BM64 BN256 BK32 GM16 w8 s2,residual add (elementwise),0.0330,BLK1024 w4 s2,,,,
#3 ResAdd + RMSNorm,-,sglang fused_add_rmsnorm,no - no GEMM involved,0.0425,BN8192 ROWS1 w8 s2,0.0468,1.1024,2,residual add,0.0287,BN2048 ROWS1 w8 s1,rmsnorm,0.0343,BN8192 ROWS1 w4 s4,,,,
#6 Up_Gate + SwiGLU,-,sglang fused_moe_kernel (GEMM1) + silu_and_mul,yes - GEMM + activation epilogue,9.3112,BM32 BN32 BK64 GM1 w4 s3,8.8468,0.9501,2,"w13 grouped GEMM -> [rows, 2I]",8.8015,BM32 BN32 BK64 GM1 w2 s4,silu_and_mul,0.0596,BM4 BN512 w4 s4,,,,"both sides tuned by a joint (BM,BN,BK) sweep; a greedy coordinate search under-tuned this baseline by 42% and produced a spurious 1.1x win"
#8 Down + Expert Merge,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,4.6894,BM32 BN32 BK64 GM1 w4 s4,4.5975,0.9804,2,"w2 grouped down GEMM -> [rows, H]",4.5540,BM32 BN32 BK64 GM4 w4 s4,moe_sum (expert merge over top-8),0.0545,BM1 BD1024 w8 s4,,,,fused timing includes the output zero-init it requires; bf16 atomics are non-deterministic
#9 Down + Expert Merge + ResAdd2,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE (+ residual seed)",yes - GEMM + scale/accumulate epilogue,4.7260,BM32 BN32 BK64 GM1 w4 s4,4.6175,0.9770,3,"w2 grouped down GEMM -> [rows, H]",4.5540,BM32 BN32 BK64 GM4 w4 s4,moe_sum (expert merge over top-8),0.0545,BM1 BD1024 w8 s4,residual add 2,0.0387,BM2 BN256 w4 s2,"unfused_total is the 3-kernel chain; the better 2-kernel baseline (moe_sum with ADD_RESIDUAL) runs 4.6001 ms -> speedup 0.973x, which is the honest comparison"
#10 Expert Merge + ResAdd,-,sglang moe_sum + residual add,no - no GEMM involved,0.0591,BM1 BD1024 w8 s4 ADD_RESIDUAL=1,0.0788,1.3333,2,expert merge (moe_sum),0.0545,BM1 BD1024 w8 s4,residual add,0.0387,BM2 BN256 w4 s2,,,,
#4 ResAdd + RMSNorm + Router,-,,,,,,,,,,,,,,,,,"NOT MEASURED at this regime: norm_router kernels are not part of the layer pipeline (dominated in context, LOG-11 S6)"
#5 RMSNorm + Router,-,,,,,,,,,,,,,,,,,NOT MEASURED at this regime: as #4
#11a Lazy Pre-Norm -> w13 grouped GEMM,-,,,,,,,,,,,,,,,,,NOT MEASURED at this regime: lazy_prenorm kernels not tuned at this regime
#11b Lazy Pre-Norm -> router GEMM,-,,,,,,,,,,,,,,,,,NOT MEASURED at this regime: as #11a
#11b' half-fused pre-norm -> router GEMM,-,,,,,,,,,,,,,,,,,NOT MEASURED at this regime: as #11a
