regime,fusion_set,config_id,run1_ms,run2_ms,best_ms,speedup_vs_unfused,tied_with_best_run1,tied_with_best_run2
decode_bs1,#3 + #10,H_f3_f10,0.8564,0.8589,0.8564,1.0046,1,1
decode_bs1,#1,C_f1,0.8573,0.8598,0.8573,1.0036,1,1
decode_bs1,#10,E_f10,0.8594,0.8605,0.8594,1.0012,1,1
decode_bs1,#3,B_f3,0.8599,0.8616,0.8599,1.0006,1,1
decode_bs1,none (all unfused),A_all_unfused,0.8604,0.8632,0.8604,1.0000,1,0
decode_bs1,#3 + #8,K_f3_f8,,0.8607,0.8607,0.9997,0,1
decode_bs1,#6,D_f6,0.8631,,0.8631,0.9969,0,0
decode_bs32,#3 + #8,K_f3_f8,,8.4361,8.4361,1.0037,0,1
decode_bs32,#3 + #9,I_f3_f9,8.4369,8.4429,8.4369,1.0036,1,1
decode_bs32,#8,F_f8,8.4372,8.4392,8.4372,1.0035,1,1
decode_bs32,#9,G_f9,8.4416,8.4549,8.4416,1.0030,1,0
decode_bs32,#1,C_f1,8.4611,,8.4611,1.0007,1,0
decode_bs32,#10,E_f10,8.4625,,8.4625,1.0005,1,0
decode_bs32,#3,B_f3,8.4634,8.4648,8.4634,1.0004,1,0
decode_bs32,none (all unfused),A_all_unfused,8.4678,8.4669,8.4669,1.0000,1,0
decode_bs256,#8,F_f8,13.9933,13.9625,13.9625,1.0037,1,1
decode_bs256,#3 + #8,K_f3_f8,,13.9665,13.9665,1.0034,0,1
decode_bs256,#3 + #9,I_f3_f9,14.0029,13.9794,13.9794,1.0025,1,1
decode_bs256,#9,G_f9,14.0061,13.9837,13.9837,1.0022,1,1
decode_bs256,#10,E_f10,14.0346,14.0003,14.0003,1.0010,0,1
decode_bs256,none (all unfused),A_all_unfused,14.0426,14.0145,14.0145,1.0000,0,1
decode_bs256,#3 + #10,H_f3_f10,14.0236,,14.0236,0.9994,0,0
decode_bs512,#3 + #10,H_f3_f10,16.4827,16.4796,16.4796,1.0015,1,1
decode_bs512,#10,E_f10,16.4904,16.4855,16.4855,1.0011,1,1
decode_bs512,#1,C_f1,16.4910,16.4919,16.4910,1.0008,1,1
decode_bs512,#3,B_f3,16.5005,16.4975,16.4975,1.0004,0,0
decode_bs512,none (all unfused),A_all_unfused,16.5075,16.5041,16.5041,1.0000,0,0
decode_bs512,#3 + #8,K_f3_f8,16.5853,16.5795,16.5795,0.9955,0,0
decode_bs512,#6,D_f6,17.0081,17.0223,17.0081,0.9704,0,0
decode_bs1024,#3 + #10,H_f3_f10,21.5590,21.5194,21.5194,1.0024,1,1
decode_bs1024,#10,E_f10,21.5704,21.5337,21.5337,1.0018,1,1
decode_bs1024,#1,C_f1,21.5840,21.5448,21.5448,1.0013,1,1
decode_bs1024,#3,B_f3,21.5973,21.5558,21.5558,1.0007,0,1
decode_bs1024,none (all unfused),A_all_unfused,21.6061,21.5718,21.5718,1.0000,0,0
decode_bs1024,#3 + #8,K_f3_f8,22.4564,22.1283,22.1283,0.9749,0,0
decode_bs1024,#6,D_f6,24.9802,25.0248,24.9802,0.8636,0,0
prefill_t2048,#3 + #10,H_f3_f10,27.8321,27.8364,27.8321,1.0024,1,1
prefill_t2048,#10,E_f10,27.8477,27.8510,27.8477,1.0018,1,1
prefill_t2048,#3,B_f3,27.8780,27.8907,27.8780,1.0007,0,0
prefill_t2048,none (all unfused),A_all_unfused,27.8976,27.9077,27.8976,1.0000,0,0
prefill_t2048,#1,C_f1,28.5297,,28.5297,0.9778,0,0
prefill_t2048,#3 + #8,K_f3_f8,,29.5808,29.5808,0.9431,0,0
prefill_t2048,#8,F_f8,29.5843,,29.5843,0.9430,0,0
prefill_t8192,#3 + #10,H_f3_f10,80.6442,80.6149,80.6149,1.0039,1,1
prefill_t8192,#10,E_f10,80.7626,80.7104,80.7104,1.0027,1,1
prefill_t8192,#3,B_f3,80.8777,80.8348,80.8348,1.0012,0,0
prefill_t8192,none (all unfused),A_all_unfused,80.9604,80.9316,80.9316,1.0000,0,0
prefill_t8192,#3 + #9,I_f3_f9,83.5278,,83.5278,0.9689,0,0
prefill_t8192,#9,G_f9,83.6323,,83.6323,0.9677,0,0
prefill_t8192,#3 + #8,K_f3_f8,,83.7724,83.7724,0.9661,0,0
