regime,T,config_id,fusion_set,n_kernels,rel_err,wall_ms,graph_ms,work_us,gap_us,launch_us,speedup_wall,ci_lo,ci_hi,speedup_graph,vs_unfused,regime_winner,tied_with_winner,campaign_speedup,delta_vs_campaign
decode_bs1,1,A_all_unfused,none (all unfused),14,8.850e-03,0.40620,0.39349,385.5,8.0,12.7,,,,,baseline,,,1.0000,
decode_bs1,1,B_f3,#3,13,8.850e-03,0.39116,0.37911,371.5,7.6,12.1,1.0373,1.0365,1.0389,1.0375,faster,,,1.0882,-0.0509
decode_bs1,1,C_f1,#1,13,4.425e-03,0.38823,0.37621,368.7,7.5,12.0,1.0459,1.0447,1.0472,1.0463,faster,,,1.0858,-0.0399
decode_bs1,1,D_f6,#6,13,8.850e-03,0.39990,0.38852,382.6,6.0,11.4,1.0154,1.0142,1.0165,1.0124,faster,,,1.0575,-0.0421
decode_bs1,1,E_f10,#10,13,6.637e-03,0.40364,0.39180,385.7,6.1,11.8,1.0062,1.0045,1.0080,1.0046,faster,,,1.0616,-0.0554
decode_bs1,1,F_f8,#8,14,8.850e-03,0.40605,0.39281,387.3,5.5,13.2,0.9998,0.9986,1.0011,1.0021,tied with unfused,,,1.0501,-0.0503
decode_bs1,1,G_f9,#9,13,8.850e-03,0.40420,0.39207,386.4,5.7,12.1,1.0042,1.0031,1.0056,1.0042,faster,,,1.1098,-0.1056
decode_bs1,1,H_f3_f10,#3 + #10,12,6.637e-03,0.38920,0.37710,371.5,5.6,12.1,1.0444,1.0424,1.0456,1.0428,faster,,,1.1555,-0.1111
decode_bs1,1,I_f3_f9,#3 + #9,12,8.850e-03,0.38897,0.37775,371.6,6.1,11.2,1.0442,1.0423,1.0453,1.0422,faster,,,1.2066,-0.1624
decode_bs1,1,J_greedy_all,#1+#6+#9 (greedy),11,6.637e-03,0.37963,0.36945,363.0,6.4,10.2,1.0693,1.0679,1.0709,1.0653,faster,1,1,1.2886,-0.2193
