regime,T,winner_wall,separated_wall,n_tied_wall,unfused_in_tie_set,winner_graph,graph_agrees,blocks_kept,blocks_dropped,blocks_lost,ci_achieved,ci_target_met,stop_reason,campaign_n_tied
decode_bs1,1,J_greedy_all,1,1,0,J_greedy_all,1,106,2,0,1.72e-03,0,target_unreachable,2
decode_bs2,2,I_f3_f9,0,2,0,H_f3_f10,0,112,0,0,1.36e-03,0,target_unreachable,3
decode_bs4,4,H_f3_f10,1,1,0,H_f3_f10,1,112,0,0,8.75e-04,0,target_unreachable,2
decode_bs8,8,J_greedy_all,1,1,0,J_greedy_all,1,200,0,0,5.93e-04,0,max_blocks (200) reached,1
decode_bs16,16,J_greedy_all,1,1,0,J_greedy_all,1,84,0,0,4.34e-04,1,target_ci_met,1
decode_bs32,32,J_greedy_all,0,3,0,H_f3_f10,0,112,0,0,3.50e-04,1,target_ci_met,4
decode_bs256,256,J_greedy_all,1,1,0,J_greedy_all,1,84,0,0,4.52e-04,1,target_ci_met,1
decode_bs512,512,J_greedy_all,1,1,0,J_greedy_all,1,120,76,0,4.15e-04,1,target_ci_met,4
decode_bs1024,1024,H_f3_f10,0,4,0,H_f3_f10,1,70,130,0,1.11e-03,0,ci_plateau,14
prefill_t2048,2048,C_f1,0,3,0,H_f3_f10,0,21,147,0,3.65e-03,0,ci_plateau,12
prefill_t8192,8192,H_f3_f10,0,2,0,H_f3_f10,1,46,154,0,4.33e-03,0,ci_plateau,8
