fusion,variant,family,regime,arm,offered_axes,engagement,hopper_speedup,classic_speedup,ratio,delta_abs,delta_rel,band_lo,band_hi,band_basis,verdict,hopper_fused_ms,classic_fused_ms,hopper_unfused_ms,classic_unfused_ms,hopper_axes_selected,classic_axes_selected,hopper_mapping_fused,classic_mapping_fused,hopper_flags,classic_flags,notes,delta_rel_raw,exclusion,exclusion_reason
#1 o_proj + ResAdd,triton,f01,decode_bs1,classic,tma|warp_specialize|clusters,ENGAGED,0.9937,1.0092,1.0156,0.0155,0.0156,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.1368,0.111872,0.133824,0.113312,warp-spec,none,BM16 BN128 BK64 GM8 SK16 w4 s2 WS,BM16 BN128 BK64 GM8 SK16 w4 s2,,,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; ALSO this cell's checkpoint was saved at 2026-08-11 13:40:31, OUTSIDE the 2026-08-11 14:39:58-2026-08-11 14:47:29 window in which the rest of f01 was measured: it was inherited from an earlier abandoned attempt and reused rather than re-measured, so it was not taken in the session this comparison is diffing; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0156,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; ALSO this cell's checkpoint was saved at 2026-08-11 13:40:31, OUTSIDE the 2026-08-11 14:39:58-2026-08-11 14:47:29 window in which the rest of f01 was measured: it was inherited from an earlier abandoned attempt and reused rather than re-measured, so it was not taken in the session this comparison is diffing"
#10 Expert Merge + ResAdd,-,f10,decode_bs1,classic,none,NOTHING-TO-DISABLE,2.1802,2.1051,0.9655,-0.0751,-0.0345,-0.0607,0.047,decode-minmax,NOISE-FLOOR,0.05792,0.068,0.126944,0.142176,none,none,BN256 ROWS2 KVEC1 UNROLL1 w4 s1,BN256 ROWS1 KVEC0 UNROLL1 w2 s1,ABOVE CEILING: 2.180x vs modelled ceiling 1.200x,ABOVE CEILING: 2.105x vs modelled ceiling 1.200x,campaign: ABOVE CEILING: 2.180x vs modelled ceiling 1.200x; control: ABOVE CEILING: 2.105x vs modelled ceiling 1.200x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; this family defines the drift band and therefore has no verdict of its own; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0345,,
#11a Lazy Pre-Norm -> w13 grouped GEMM,lazy pre-norm (prologue),f11,decode_bs1,classic,warp_specialize,ENGAGED,1.0177,0.9959,0.9785,-0.0219,-0.0215,-0.0607,0.047,decode-minmax,INSIDE,0.108672,0.108288,0.11008,0.107776,none,none,BM16 BN128 BK128 GM4 w4 s3,BM16 BN128 BK128 GM16 w4 s3,,,campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0215,,
#11a+#11b combined (one norm charged once),combined,f11,decode_bs1,classic,warp_specialize,ENGAGED,1.265,0.9086,0.7183,-0.3564,-0.2817,-0.0607,0.047,decode-minmax,OUTSIDE-LOW,0.141216,0.135424,0.183296,0.122816,none,none,,,DRIFT: paired 1.2650x vs ratio-of-medians 1.2980x differ by >2%; the machine moved during this cell,,"campaign: DRIFT: paired 1.2650x vs ratio-of-medians 1.2980x differ by >2%; the machine moved during this cell; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; below the drift band: the fusion gain (unfused/fused) was SMALLER in the classic arm than in the campaign by more than the drift band explains -- which of the two arms' kernels moved, and why, this unpaired design cannot say; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.2817,,
#11b Lazy Pre-Norm -> router GEMM,lazy pre-norm (prologue),f11,decode_bs1,classic,warp_specialize,ENGAGED,1.8949,2.1947,1.1582,0.2998,0.1582,-0.0607,0.047,decode-minmax,OUTSIDE-HIGH,0.07296,0.064768,0.141472,0.143392,warp-spec,none,BM16 BN64 BK64 GM8 w8 s4 WS,BM16 BN32 BK64 GM8 w8 s5,DRIFT: paired 1.8949x vs ratio-of-medians 1.9390x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.895x vs modelled ceiling 1.008x,ABOVE CEILING: 2.195x vs modelled ceiling 1.008x,"campaign: DRIFT: paired 1.8949x vs ratio-of-medians 1.9390x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.895x vs modelled ceiling 1.008x; control: ABOVE CEILING: 2.195x vs modelled ceiling 1.008x; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; above the drift band: the fusion gain (unfused/fused) was LARGER in the classic arm than in the campaign by more than the drift band explains -- which of the two arms' kernels moved, and why, this unpaired design cannot say; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.1582,,
#3 ResAdd + RMSNorm,-,f03,decode_bs1,classic,none,NOTHING-TO-DISABLE,2.1644,2.2407,1.0352,0.0762,0.0352,-0.0607,0.047,decode-minmax,NOISE-FLOOR,0.065824,0.055904,0.140704,0.12432,none,none,BN8192 ROWS2 w32 s2,BN8192 ROWS1 EVICT1 w4 s1,ABOVE CEILING: 2.164x vs modelled ceiling 1.250x,ABOVE CEILING: 2.241x vs modelled ceiling 1.250x,campaign: ABOVE CEILING: 2.164x vs modelled ceiling 1.250x; control: ABOVE CEILING: 2.241x vs modelled ceiling 1.250x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; this family defines the drift band and therefore has no verdict of its own; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0352,,
#4 ResAdd + RMSNorm + Router,F4,f04f05,decode_bs1,classic,warp_specialize|clusters,ENGAGED,1.4234,1.4559,1.0228,0.0325,0.0228,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.111488,0.11088,0.158144,0.164448,none,none,BM16 BK128 BE32 NBK256 w8 s2,BM16 BK128 BE32 NBK256 w8 s2,ABOVE CEILING: 1.423x vs modelled ceiling 1.008x,ABOVE CEILING: 1.456x vs modelled ceiling 1.008x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: ABOVE CEILING: 1.423x vs modelled ceiling 1.008x; control: ABOVE CEILING: 1.456x vs modelled ceiling 1.008x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0228,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,f04f05,decode_bs1,classic,warp_specialize|clusters,ENGAGED,1.6442,1.6892,1.0274,0.045,0.0274,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.10528,0.112256,0.181984,0.193376,none,none,BM16 BK128 BE256 w16 s3,BM16 BK128 BE256 w16 s3,DRIFT: paired 1.6442x vs ratio-of-medians 1.7286x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.644x vs modelled ceiling 1.008x,ABOVE CEILING: 1.689x vs modelled ceiling 1.008x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 1.6442x vs ratio-of-medians 1.7286x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.644x vs modelled ceiling 1.008x; control: ABOVE CEILING: 1.689x vs modelled ceiling 1.008x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0274,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router,F5,f04f05,decode_bs1,classic,warp_specialize|clusters,ENGAGED,1.4248,1.4413,1.0116,0.0165,0.0116,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.106752,0.104416,0.151936,0.147552,warp-spec,none,BM16 BK128 BE64 NBK256 w8 s2 WS,BM16 BK128 BE32 NBK256 w8 s2,ABOVE CEILING: 1.425x vs modelled ceiling 1.004x,ABOVE CEILING: 1.441x vs modelled ceiling 1.004x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: ABOVE CEILING: 1.425x vs modelled ceiling 1.004x; control: ABOVE CEILING: 1.441x vs modelled ceiling 1.004x; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0116,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router + TopK,F5_topk,f04f05,decode_bs1,classic,warp_specialize|clusters,ENGAGED,1.821,1.8329,1.0066,0.0119,0.0066,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.103904,0.105216,0.196352,0.195296,none,none,BM16 BK128 BE256 NBK256 w16 s3,BM16 BK128 BE256 NBK256 w16 s3,DRIFT: paired 1.8210x vs ratio-of-medians 1.8897x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.821x vs modelled ceiling 1.004x,ABOVE CEILING: 1.833x vs modelled ceiling 1.004x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 1.8210x vs ratio-of-medians 1.8897x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.821x vs modelled ceiling 1.004x; control: ABOVE CEILING: 1.833x vs modelled ceiling 1.004x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0066,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
