fusion,variant,family,regime,arm,offered_axes,engagement,hopper_speedup,classic_speedup,ratio,delta_abs,delta_rel,band_lo,band_hi,band_basis,verdict,hopper_fused_ms,classic_fused_ms,hopper_unfused_ms,classic_unfused_ms,hopper_axes_selected,classic_axes_selected,hopper_mapping_fused,classic_mapping_fused,hopper_flags,classic_flags,notes,delta_rel_raw,exclusion,exclusion_reason
#1 o_proj + ResAdd,triton,f01,prefill_t8192,classic,tma|warp_specialize|clusters,ENGAGED,1.0128,1.0072,0.9944,-0.0056,-0.0056,-0.0607,0.047,global-minmax,TENANT-CONTAMINATED,2.534944,2.596896,2.567008,2.61504,"TMA, warp-spec",none,BM256 BN128 BK64 GM1 SK1 w8 s4 TMA WS,BM256 BN128 BK32 GM1 SK1 w8 s4,,,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign Hopper axes selected by the tuner: fused=TMA, warp-spec / unfused=warp-spec; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0056,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#10 Expert Merge + ResAdd,-,f10,prefill_t8192,classic,none,NOTHING-TO-DISABLE,1.1943,1.1956,1.0011,0.0013,0.0011,-0.0607,0.047,global-minmax,NOISE-FLOOR,0.234752,0.23504,0.28096,0.281536,none,none,BN2048 ROWS1 KVEC1 UNROLL1 w8 s1,BN4096 ROWS1 KVEC0 UNROLL1 w8 s2,,,campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; this family defines the drift band and therefore has no verdict of its own; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0011,,
#11a Lazy Pre-Norm -> w13 grouped GEMM,lazy pre-norm (prologue),f11,prefill_t8192,classic,warp_specialize,ENGAGED,0.6231,0.6274,1.0069,0.0043,0.0069,-0.0607,0.047,global-minmax,INSIDE,11.16736,10.825024,6.946368,6.78,warp-spec,none,BM64 BN256 BK64 GM16 w16 s3 WS,BM128 BN256 BK64 GM8 w32 s4,,,campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0069,,
#11a+#11b combined (one norm charged once),combined,f11,prefill_t8192,classic,warp_specialize,ENGAGED,0.6221,0.6255,1.0054,0.0034,0.0054,-0.0607,0.047,global-minmax,INSIDE,11.291232,10.926656,7.005952,6.774144,none,none,,,,,campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0054,,
#11b Lazy Pre-Norm -> router GEMM,lazy pre-norm (prologue),f11,prefill_t8192,classic,warp_specialize,ENGAGED,1.4307,1.5295,1.0691,0.0989,0.0691,-0.0607,0.047,global-minmax,OUTSIDE-HIGH,0.159072,0.145632,0.231872,0.22416,warp-spec,none,BM64 BN128 BK64 GM1 w8 s3 WS,BM64 BN256 BK64 GM8 w16 s4,,,"campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; above the drift band: the fusion gain (unfused/fused) was LARGER in the classic arm than in the campaign by more than the drift band explains -- which of the two arms' kernels moved, and why, this unpaired design cannot say; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0691,,
#3 ResAdd + RMSNorm,-,f03,prefill_t8192,classic,none,NOTHING-TO-DISABLE,1.3287,1.3351,1.0048,0.0064,0.0048,-0.0607,0.047,global-minmax,NOISE-FLOOR,0.162112,0.177216,0.209632,0.232736,none,none,BN8192 ROWS1 w16 s2,BN8192 ROWS1 w16 s2,DRIFT: paired 1.3287x vs ratio-of-medians 1.2931x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.329x vs modelled ceiling 1.250x,ABOVE CEILING: 1.335x vs modelled ceiling 1.250x,campaign: DRIFT: paired 1.3287x vs ratio-of-medians 1.2931x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.329x vs modelled ceiling 1.250x; control: ABOVE CEILING: 1.335x vs modelled ceiling 1.250x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; this family defines the drift band and therefore has no verdict of its own; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0048,,
#4 ResAdd + RMSNorm + Router,F4,f04f05,prefill_t8192,classic,warp_specialize|clusters,ENGAGED,0.8265,0.7594,0.9189,-0.0671,-0.0811,-0.0607,0.047,global-minmax,TENANT-CONTAMINATED,0.303264,0.260832,0.23088,0.156416,warp-spec,none,BM32 BK128 BE256 w8 s2,BM32 BK128 BE256 w8 s2,DRIFT: paired 0.8265x vs ratio-of-medians 0.7613x differ by >2%; the machine moved during this cell,DRIFT: paired 0.7594x vs ratio-of-medians 0.5997x differ by >2%; the machine moved during this cell,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 0.8265x vs ratio-of-medians 0.7613x differ by >2%; the machine moved during this cell; control: DRIFT: paired 0.7594x vs ratio-of-medians 0.5997x differ by >2%; the machine moved during this cell; campaign Hopper axes selected by the tuner: fused=none / unfused=warp-spec; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0811,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,f04f05,prefill_t8192,classic,warp_specialize|clusters,ENGAGED,0.9651,0.8788,0.9106,-0.0863,-0.0894,-0.0607,0.047,global-minmax,TENANT-CONTAMINATED,0.296512,0.284928,0.230592,0.209408,warp-spec,none,BM32 BK128 BE256 w8 s2,BM64 BK64 BE256 w8 s4,DRIFT: paired 0.9651x vs ratio-of-medians 0.7777x differ by >2%; the machine moved during this cell,DRIFT: paired 0.8788x vs ratio-of-medians 0.7350x differ by >2%; the machine moved during this cell,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 0.9651x vs ratio-of-medians 0.7777x differ by >2%; the machine moved during this cell; control: DRIFT: paired 0.8788x vs ratio-of-medians 0.7350x differ by >2%; the machine moved during this cell; campaign Hopper axes selected by the tuner: fused=none / unfused=warp-spec; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0894,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router,F5,f04f05,prefill_t8192,classic,warp_specialize|clusters,ENGAGED,1.1433,1.1053,0.9668,-0.0379,-0.0332,-0.0607,0.047,global-minmax,TENANT-CONTAMINATED,0.239808,0.238208,0.260544,0.240768,warp-spec,none,BM32 BK128 BE256 EVICT1 w8 s2 WS,BM64 BK128 BE128 w4 s2,DRIFT: paired 1.1433x vs ratio-of-medians 1.0865x differ by >2%; the machine moved during this cell,DRIFT: paired 1.1053x vs ratio-of-medians 1.0107x differ by >2%; the machine moved during this cell,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 1.1433x vs ratio-of-medians 1.0865x differ by >2%; the machine moved during this cell; control: DRIFT: paired 1.1053x vs ratio-of-medians 1.0107x differ by >2%; the machine moved during this cell; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=warp-spec; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0332,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router + TopK,F5_topk,f04f05,prefill_t8192,classic,warp_specialize|clusters,ENGAGED,1.3843,1.4021,1.0129,0.0178,0.0129,-0.0607,0.047,global-minmax,TENANT-CONTAMINATED,0.247936,0.237984,0.312352,0.305856,warp-spec,none,BM32 BK128 BE256 EVICT1 w8 s2 WS,BM32 BK128 BE256 EVICT1 w8 s2,DRIFT: paired 1.3843x vs ratio-of-medians 1.2598x differ by >2%; the machine moved during this cell,DRIFT: paired 1.4021x vs ratio-of-medians 1.2852x differ by >2%; the machine moved during this cell,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 1.3843x vs ratio-of-medians 1.2598x differ by >2%; the machine moved during this cell; control: DRIFT: paired 1.4021x vs ratio-of-medians 1.2852x differ by >2%; the machine moved during this cell; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=warp-spec; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0129,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
