exclusion,re_measure,family,fusion,variant,regime,campaign_speedup,control_speedup,delta_rel_withheld,campaign_fused_us,control_fused_us,campaign_floor_us,control_floor_us,control_fused_ticks,campaign_p90_over_p10,control_p90_over_p10,campaign_drift_frac_fused,control_drift_frac_fused,campaign_order_gap_frac,control_order_gap_frac,campaign_speedup_over_ceiling,control_speedup_over_ceiling,measuring_window,card_mib_before,card_mib_after,evidence
TENANT-CONTAMINATED,YES,f01,#1 o_proj + ResAdd,triton,decode_bs1,0.9937,1.0092,0.0156,136.8,111.87,36.91,39.46,3496.0,1.8076,1.5887,-0.4374,-0.3432,0.0211,0.0077,0.9047,0.919,2026-08-11 14:39:58 - 2026-08-11 14:47:29,0,124498,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; ALSO this cell's checkpoint was saved at 2026-08-11 13:40:31, OUTSIDE the 2026-08-11 14:39:58-2026-08-11 14:47:29 window in which the rest of f01 was measured: it was inherited from an earlier abandoned attempt and reused rather than re-measured, so it was not taken in the session this comparison is diffing"
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router,F4,decode_bs1,1.4234,1.4559,0.0228,111.49,110.88,36.91,39.46,3465.0,2.0368,2.0012,-0.4127,-0.3753,0.0498,0.0504,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router + TopK,F4_topk,decode_bs1,1.6442,1.6892,0.0274,105.28,112.26,36.91,39.46,3508.0,1.6857,1.8036,-0.3129,-0.3006,0.1545,0.0234,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router,F5,decode_bs1,1.4248,1.4413,0.0116,106.75,104.42,36.91,39.46,3263.0,2.0116,1.9628,-0.384,-0.414,0.0528,0.0577,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router + TopK,F5_topk,decode_bs1,1.821,1.8329,0.0066,103.9,105.22,36.91,39.46,3288.0,1.8584,1.8168,-0.3564,-0.3376,0.0438,0.0492,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f01,#1 o_proj + ResAdd,triton,decode_bs2,1.0006,1.0069,0.0063,127.04,117.73,36.91,39.46,3679.0,1.7297,1.7735,-0.4033,-0.3963,0.0146,0.0061,0.9109,0.9169,2026-08-11 14:39:58 - 2026-08-11 14:47:29,0,124498,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router,F4,decode_bs2,1.3682,1.4071,0.0285,104.8,100.06,36.91,39.46,3127.0,1.7889,1.8149,-0.326,-0.3817,0.0698,0.0405,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router + TopK,F4_topk,decode_bs2,1.7263,1.6086,-0.0682,106.88,106.27,36.91,39.46,3321.0,1.6775,1.6855,-0.3135,-0.3078,0.0644,0.0957,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router,F5,decode_bs2,1.4279,1.4455,0.0124,110.53,92.16,36.91,39.46,2880.0,2.1617,1.8611,-0.3393,-0.402,0.0737,0.0079,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router + TopK,F5_topk,decode_bs2,1.7842,1.7748,-0.0052,106.69,105.25,36.91,39.46,3289.0,1.7848,1.8209,-0.3335,-0.3358,0.0684,0.0015,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
