fusion,variant,family,offered_axes,engagement,exclusion,n_cells,n_usable,n_excluded,n_outside_high,n_outside_low,n_inside,median_delta_rel,min_delta_rel,max_delta_rel,band_basis,verdict,verdict_sentence
#1 o_proj + ResAdd,triton,f01,tma|warp_specialize|clusters,ENGAGED,TENANT-CONTAMINATED,11,0,11,0,0,0,,,,decode-minmax|global-minmax,TENANT-CONTAMINATED,"EXCLUDED from the published comparison and marked for RE-MEASUREMENT: every cell was measured while another process held the card, against a baseline measured on an idle card. This is NOT an inside-the-band result and NOT a null -- it is the absence of a usable measurement [0 of 0 usable cells above the band, 0 below, 0 inside] [11 of 11 cell(s) EXCLUDED by a stated rule and marked for RE-MEASUREMENT: TENANT-CONTAMINATED]"
#3 ResAdd + RMSNorm,-,f03,none,NOTHING-TO-DISABLE,,11,11,0,0,0,0,0.0004,-0.0506,0.0441,decode-minmax|global-minmax,NOISE-FLOOR,"defines the drift band; its delta IS the cross-session noise this design concedes [11 usable cell(s), every one of them a SAMPLE of the band rather than a measurement against it]"
#4 ResAdd + RMSNorm + Router,F4,f04f05,warp_specialize|clusters,ENGAGED,TENANT-CONTAMINATED,11,0,11,0,0,0,,,,decode-minmax|global-minmax,TENANT-CONTAMINATED,"EXCLUDED from the published comparison and marked for RE-MEASUREMENT: every cell was measured while another process held the card, against a baseline measured on an idle card. This is NOT an inside-the-band result and NOT a null -- it is the absence of a usable measurement [0 of 0 usable cells above the band, 0 below, 0 inside] [11 of 11 cell(s) EXCLUDED by a stated rule and marked for RE-MEASUREMENT: TENANT-CONTAMINATED]"
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,f04f05,warp_specialize|clusters,ENGAGED,TENANT-CONTAMINATED,11,0,11,0,0,0,,,,decode-minmax|global-minmax,TENANT-CONTAMINATED,"EXCLUDED from the published comparison and marked for RE-MEASUREMENT: every cell was measured while another process held the card, against a baseline measured on an idle card. This is NOT an inside-the-band result and NOT a null -- it is the absence of a usable measurement [0 of 0 usable cells above the band, 0 below, 0 inside] [11 of 11 cell(s) EXCLUDED by a stated rule and marked for RE-MEASUREMENT: TENANT-CONTAMINATED]"
#5 RMSNorm + Router,F5,f04f05,warp_specialize|clusters,ENGAGED,TENANT-CONTAMINATED,11,0,11,0,0,0,,,,decode-minmax|global-minmax,TENANT-CONTAMINATED,"EXCLUDED from the published comparison and marked for RE-MEASUREMENT: every cell was measured while another process held the card, against a baseline measured on an idle card. This is NOT an inside-the-band result and NOT a null -- it is the absence of a usable measurement [0 of 0 usable cells above the band, 0 below, 0 inside] [11 of 11 cell(s) EXCLUDED by a stated rule and marked for RE-MEASUREMENT: TENANT-CONTAMINATED]"
#5 RMSNorm + Router + TopK,F5_topk,f04f05,warp_specialize|clusters,ENGAGED,TENANT-CONTAMINATED,11,0,11,0,0,0,,,,decode-minmax|global-minmax,TENANT-CONTAMINATED,"EXCLUDED from the published comparison and marked for RE-MEASUREMENT: every cell was measured while another process held the card, against a baseline measured on an idle card. This is NOT an inside-the-band result and NOT a null -- it is the absence of a usable measurement [0 of 0 usable cells above the band, 0 below, 0 inside] [11 of 11 cell(s) EXCLUDED by a stated rule and marked for RE-MEASUREMENT: TENANT-CONTAMINATED]"
#6 Up_Gate + SwiGLU,-,f06,tma|warp_specialize|clusters,ENGAGED,,11,11,0,1,1,9,0.0009,-0.1233,0.0964,decode-minmax|global-minmax,MIXED,"the usable cells do not agree: some fall outside the drift band, some inside, and/or they fall out on both sides; read the per-regime CSVs before claiming anything [1 of 11 usable cells above the band, 1 below, 9 inside]"
#8 Down + Expert Merge,atomic (sglang FUSE_SUM_ALL_REDUCE),f08f09,tma|warp_specialize|clusters,ENGAGED,,11,11,0,0,0,11,-0.0037,-0.0243,0.0224,decode-minmax|global-minmax,INSIDE-BAND,"every usable cell sits inside the drift band -- nothing is shown for this family, which is not the same claim as 'no effect' [0 of 11 usable cells above the band, 0 below, 11 inside]"
#9 Down + Expert Merge + ResAdd2,atomic (sglang FUSE_SUM_ALL_REDUCE),f08f09,tma|warp_specialize|clusters,ENGAGED,,11,9,0,1,0,8,-0.0055,-0.0587,0.1164,decode-minmax|global-minmax,MIXED,"the usable cells do not agree: some fall outside the drift band, some inside, and/or they fall out on both sides; read the per-regime CSVs before claiming anything [1 of 9 usable cells above the band, 0 below, 8 inside]"
#8 Down + Expert Merge,token-major,f08f09,tma|warp_specialize|clusters,ENGAGED,,11,11,0,1,1,9,-0.0026,-0.1246,0.0496,decode-minmax|global-minmax,MIXED,"the usable cells do not agree: some fall outside the drift band, some inside, and/or they fall out on both sides; read the per-regime CSVs before claiming anything [1 of 11 usable cells above the band, 1 below, 9 inside]"
#9 Down + Expert Merge + ResAdd2,token-major,f08f09,tma|warp_specialize|clusters,ENGAGED,,11,11,0,0,1,10,-0.002,-0.1669,0.0431,decode-minmax|global-minmax,MIXED,"the usable cells do not agree: some fall outside the drift band, some inside, and/or they fall out on both sides; read the per-regime CSVs before claiming anything [0 of 11 usable cells above the band, 1 below, 10 inside]"
#10 Expert Merge + ResAdd,-,f10,none,NOTHING-TO-DISABLE,INVALID-HARNESS-FLOOR,11,10,1,0,0,0,0.0107,-0.0607,0.047,decode-minmax|global-minmax,NOISE-FLOOR,"defines the drift band; its delta IS the cross-session noise this design concedes [10 usable cell(s), every one of them a SAMPLE of the band rather than a measurement against it] [1 of 11 cell(s) EXCLUDED by a stated rule and marked for RE-MEASUREMENT: INVALID-HARNESS-FLOOR]"
#11a+#11b combined (one norm charged once),combined,f11,warp_specialize,ENGAGED,,11,11,0,1,1,9,-0.003,-0.2817,0.0899,decode-minmax|global-minmax,MIXED,"the usable cells do not agree: some fall outside the drift band, some inside, and/or they fall out on both sides; read the per-regime CSVs before claiming anything [1 of 11 usable cells above the band, 1 below, 9 inside]"
#11a Lazy Pre-Norm -> w13 grouped GEMM,lazy pre-norm (prologue),f11,warp_specialize,ENGAGED,,11,11,0,1,0,10,-0.0025,-0.0338,0.086,decode-minmax|global-minmax,MIXED,"the usable cells do not agree: some fall outside the drift band, some inside, and/or they fall out on both sides; read the per-regime CSVs before claiming anything [1 of 11 usable cells above the band, 0 below, 10 inside]"
#11b Lazy Pre-Norm -> router GEMM,lazy pre-norm (prologue),f11,warp_specialize,ENGAGED,,11,11,0,3,0,8,0.0032,-0.0433,0.1582,decode-minmax|global-minmax,MIXED,"the usable cells do not agree: some fall outside the drift band, some inside, and/or they fall out on both sides; read the per-regime CSVs before claiming anything [3 of 11 usable cells above the band, 0 below, 8 inside]"
