family,variant,regime,hopper_speedup,classic_speedup,delta_rel,delta_abs,usable,why_unusable
f03,f3,decode_bs1,2.1644,2.2407,0.0352,0.0762,yes,
f03,f3,decode_bs2,2.1522,2.0434,-0.0506,-0.1088,yes,
f03,f3,decode_bs4,2.1727,2.1736,0.0004,0.0008,yes,
f03,f3,decode_bs8,2.1543,2.1943,0.0186,0.04,yes,
f03,f3,decode_bs16,2.0986,2.1911,0.0441,0.0925,yes,
f03,f3,decode_bs32,2.2024,2.102,-0.0456,-0.1003,yes,
f03,f3,decode_bs256,2.0325,1.9676,-0.0319,-0.0649,yes,
f03,f3,decode_bs512,2.0513,1.9628,-0.0431,-0.0885,yes,
f03,f3,decode_bs1024,1.9486,1.9706,0.0113,0.022,yes,
f03,f3,prefill_t2048,1.9597,1.9327,-0.0138,-0.0269,yes,
f03,f3,prefill_t8192,1.3287,1.3351,0.0048,0.0064,yes,
f10,f10,decode_bs1,2.1802,2.1051,-0.0345,-0.0751,yes,
f10,f10,decode_bs2,2.2355,2.0999,-0.0607,-0.1356,yes,
f10,f10,decode_bs4,2.1446,2.1786,0.0159,0.034,yes,
f10,f10,decode_bs8,2.165,2.1286,-0.0168,-0.0364,yes,
f10,f10,decode_bs16,2.1607,3.7394,0.7306,1.5786,no,INVALID-HARNESS-FLOOR
f10,f10,decode_bs32,2.1338,2.1701,0.017,0.0364,yes,
f10,f10,decode_bs256,2.0312,2.0782,0.0232,0.047,yes,
f10,f10,decode_bs512,1.9715,2.0642,0.047,0.0927,yes,
f10,f10,decode_bs1024,1.9109,1.9379,0.0141,0.027,yes,
f10,f10,prefill_t2048,1.5648,1.5762,0.0073,0.0114,yes,
f10,f10,prefill_t8192,1.1943,1.1956,0.0011,0.0013,yes,
