basis,n,min,p10,median,p90,max,stdev,used_for_verdicts
global,21,-0.0607,-0.0456,0.0048,0.0352,0.047,0.0316,yes (fallback for any class with n < 8)
decode,17,-0.0607,-0.0476,0.0113,0.0388,0.047,0.035,yes
prefill,4,-0.0138,-0.0093,0.003,0.0065,0.0073,0.0094,no (n < 8)
regime:decode_bs1,2,-0.0345,-0.0275,0.0004,0.0283,0.0352,0.0493,no (INFO only; 2 samples cannot define a band)
regime:decode_bs2,2,-0.0607,-0.0596,-0.0556,-0.0516,-0.0506,0.0071,no (INFO only; 2 samples cannot define a band)
regime:decode_bs4,2,0.0004,0.0019,0.0081,0.0143,0.0159,0.0109,no (INFO only; 2 samples cannot define a band)
regime:decode_bs8,2,-0.0168,-0.0133,0.0009,0.015,0.0186,0.025,no (INFO only; 2 samples cannot define a band)
regime:decode_bs16,1,0.0441,,0.0441,,0.0441,0.0,no (INFO only; 2 samples cannot define a band)
regime:decode_bs32,2,-0.0456,-0.0393,-0.0143,0.0108,0.017,0.0443,no (INFO only; 2 samples cannot define a band)
regime:decode_bs256,2,-0.0319,-0.0264,-0.0044,0.0177,0.0232,0.039,no (INFO only; 2 samples cannot define a band)
regime:decode_bs512,2,-0.0431,-0.0341,0.0019,0.038,0.047,0.0638,no (INFO only; 2 samples cannot define a band)
regime:decode_bs1024,2,0.0113,0.0116,0.0127,0.0138,0.0141,0.002,no (INFO only; 2 samples cannot define a band)
regime:prefill_t2048,2,-0.0138,-0.0116,-0.0032,0.0052,0.0073,0.0149,no (INFO only; 2 samples cannot define a band)
regime:prefill_t8192,2,0.0011,0.0015,0.003,0.0045,0.0048,0.0026,no (INFO only; 2 samples cannot define a band)
global-if-excluded-cells-retained,22,-0.0607,-0.0453,0.0061,0.0432,0.7306,0.1593,no -- SHADOW: what the band would be if the cells excluded by the stated validity rule were kept. Published so the exclusion can be priced.
decode-if-excluded-cells-retained,18,-0.0607,-0.0471,0.0127,0.045,0.7306,0.1763,no -- SHADOW
prefill-if-excluded-cells-retained,4,-0.0138,-0.0093,0.003,0.0065,0.0073,0.0094,no -- SHADOW
