fusion,variant,replicates,coda_correspondence,fused_ms,fused_mapping,unfused_total_ms,speedup,n_unfused_kernels,unfused_k1_name,unfused_k1_ms,unfused_k1_mapping,unfused_k2_name,unfused_k2_ms,unfused_k2_mapping,unfused_k3_name,unfused_k3_ms,unfused_k3_mapping,notes
#1 o_proj + ResAdd,triton,"vendor cuBLAS-equivalent epilogue (torch.addmm, beta=1)",yes - GEMM + residual-add epilogue,0.3558,BM128 BN256 BK64 GM1 SK1 w8 s4,0.3592,1.0095,2,o_proj GEMM,,BM128 BN256 BK64 GM1 SK1 w8 s4,residual add (elementwise),0.0109,BLK8192 w16 s1,,,,"FLAG(summary.json): ""SEQUENTIAL: arms were not interleaved A/B/A/B, so monotone clock or thermal drift does not cancel in this ratio""; that flag fires on the row's `paired: false` field, not on the protocol: this cell's own pair_meta records impl=common.bench_pair, interleaved=true, with the leading arm alternating every repetition -- what is sequential is the STATISTIC (ratio of the two arms' medians), not the arm order; speedup_source=speedup: the published ratio is unfused.p50/fused.p50 (a ratio of medians), NOT the paired per-round statistic; paired statistic from the SAME interleaved run: paired per-round median 1.0095, trimmed 1.0094, per-round p10-p90 1.0045-1.0142, fused faster in 98% of 200 rounds; hwinfo bracket flagged the measurement window SUSPECT: new throttle reasons: SwPowerCap; Hopper axes selected by the tuner: fused=none / unfused=none; unfused_k1_ms is EMPTY on purpose: bench_f01 times the unfused arm only as a chain (GEMM + epilogue), so the o_proj GEMM alone was never measured on this device; unfused_k2_ms is the epilogue's own tuned standalone best, behind its own L2 flush, so it does not sum to unfused_total_ms; tuner budget per arm (timed/failed): fused 246/11, unfused 246/19 -- 4% of the fused arm's configs failed vs 8% of the unfused arm's; vendor cuBLAS line on the same tensors: addmm(beta=1) 0.2989 ms vs mm+add 0.2992 ms -> 1.0024x (paired); triton fused is 0.840x the vendor fused time; MEASURED ON GPU 59aa5198 (family f01), harness floor +37.669 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#3 ResAdd + RMSNorm,-,sglang fused_add_rmsnorm,no - no GEMM involved,0.0713,BN8192 ROWS2 EVICT1 w8 s2,0.1481,2.0874,2,residual add,0.0112,BN8192 ROWS4 EVICT1 w32 s2,rmsnorm,0.0105,BN8192 ROWS2 w16 s1,,,,"FLAG(summary.json): ""SEQUENTIAL: arms were not interleaved A/B/A/B, so monotone clock or thermal drift does not cancel in this ratio""; that flag fires on the row's `paired: false` field, not on the protocol: this cell's own pair_meta records impl=common.bench_pair, interleaved=true, with the leading arm alternating every repetition -- what is sequential is the STATISTIC (ratio of the two arms' medians), not the arm order; speedup_source=speedup: the published ratio is unfused.p50/fused.p50 (a ratio of medians), NOT the paired per-round statistic; paired statistic from the SAME interleaved run: paired per-round median 2.0874, trimmed 2.0921, per-round p10-p90 1.8445-2.3562, fused faster in 100% of 200 rounds; within-window drift: fused -49.7%, unfused -43.0% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): none -- NOT offered: TMA, warp specialization, clusters (this kernel module advertises no cfg key for it); tuner budget per arm (timed/failed): fused 230/0, unfused 464/0 -- 0% of the fused arm's configs failed vs 0% of the unfused arm's; per-kernel times are each kernel's own tuned best, while the chain ran jointly re-tuned configs (add: BN4096 ROWS4 EVICT1 w16 s2 | norm: BN8192 ROWS2 EVICT1 w16 s1) -- a stage the unfused side gets and the fused side cannot use; fused output bitwise-identical to unfused: True; DRAM-traffic ceiling 1.25x (MODELLED), h1 (6291456 B) fits this device's 60 MB L2: True; reference lines: torch eager 0.1609 ms, torch.compile 0.0714 ms; MEASURED ON GPU 59aa5198 (family f03), harness floor +37.669 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#5 RMSNorm + Router,F5,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.0996,BM16 BK128 BE64 NBK256 w8 s3 WS,0.1712,1.74,2,rmsnorm,0.0225,BM8 BK2048 BE256 w8 s2,router GEMM (fp32),0.0349,BM32 BK64 BE128 w8 s4 CTAS2,,,,"FLAG(summary.json): ""SEQUENTIAL: arms were not interleaved A/B/A/B, so monotone clock or thermal drift does not cancel in this ratio""; that flag fires on the row's `paired: false` field, not on the protocol: this cell's own pair_meta records impl=common.bench_pair, interleaved=true, with the leading arm alternating every repetition -- what is sequential is the STATISTIC (ratio of the two arms' medians), not the arm order; FLAG(summary.json): ""ABOVE CEILING: 1.719x vs modelled ceiling 1.387x""; speedup_source=speedup: the published ratio is unfused.p50/fused.p50 (a ratio of medians), NOT the paired per-round statistic; paired statistic from the SAME interleaved run: paired per-round median 1.7400, trimmed 1.7331, per-round p10-p90 1.6306-1.8303, fused faster in 100% of 200 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 3.7% (order_gap_frac); within-window drift: fused -37.9%, unfused -40.4% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=warp-spec / unfused=clusters(num_ctas=2); axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 557/208, unfused 323/14 -- 37% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM8 BK2048 BE256 w8 s2 | gemm: BM16 BK64 BE128 w8 s4 CTAS2); ceiling for this cell 1.387x, traffic_ratio_model 1.387x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0751 ms, bf16 0.0133 ms, torch reference chain 0.2247 ms; MEASURED ON GPU 59aa5198 (family f04f05), harness floor +37.669 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#5 RMSNorm + Router + TopK,F5_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1127,BM16 BK128 BE256 NBK256 w8 s3 WS,0.2294,2.0662,3,rmsnorm,0.0225,BM8 BK2048 BE256 w8 s2,router GEMM (fp32),0.0349,BM32 BK64 BE128 w8 s4 CTAS2,sigmoid + noaux_tc top-8,0.0222,BM2 BK32 BE256 w2 s2,"FLAG(summary.json): ""SEQUENTIAL: arms were not interleaved A/B/A/B, so monotone clock or thermal drift does not cancel in this ratio""; that flag fires on the row's `paired: false` field, not on the protocol: this cell's own pair_meta records impl=common.bench_pair, interleaved=true, with the leading arm alternating every repetition -- what is sequential is the STATISTIC (ratio of the two arms' medians), not the arm order; FLAG(summary.json): ""ABOVE CEILING: 2.036x vs modelled ceiling 1.387x""; speedup_source=speedup: the published ratio is unfused.p50/fused.p50 (a ratio of medians), NOT the paired per-round statistic; paired statistic from the SAME interleaved run: paired per-round median 2.0662, trimmed 2.0788, per-round p10-p90 1.7631-2.3672, fused faster in 100% of 200 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 16.4% (order_gap_frac); within-window drift: fused -37.0%, unfused -42.0% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=warp-spec / unfused=clusters(num_ctas=2); axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 301/101, unfused 365/14 -- 34% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM8 BK2048 BE256 w8 s2 | gemm: BM16 BK64 BE128 w8 s4 CTAS2 | topk: BM2 BK32 BE256 w2 s2); ceiling for this cell 1.387x, traffic_ratio_model 1.387x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0751 ms, bf16 0.0133 ms, torch reference chain 0.2247 ms; MEASURED ON GPU 59aa5198 (family f04f05), harness floor +37.669 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#4 ResAdd + RMSNorm + Router,F4,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1058,BM16 BK128 BE64 NBK256 w8 s3 WS,0.1669,1.6181,2,add+rmsnorm (fusion #3 already applied),0.0237,BM2 BK1024 BE256 EVICT1 w8 s2,router GEMM (fp32),0.0349,BM32 BK64 BE128 w8 s4 CTAS2,,,,"FLAG(summary.json): ""SEQUENTIAL: arms were not interleaved A/B/A/B, so monotone clock or thermal drift does not cancel in this ratio""; that flag fires on the row's `paired: false` field, not on the protocol: this cell's own pair_meta records impl=common.bench_pair, interleaved=true, with the leading arm alternating every repetition -- what is sequential is the STATISTIC (ratio of the two arms' medians), not the arm order; FLAG(summary.json): ""ABOVE CEILING: 1.577x vs modelled ceiling 1.436x""; speedup_source=speedup: the published ratio is unfused.p50/fused.p50 (a ratio of medians), NOT the paired per-round statistic; paired statistic from the SAME interleaved run: paired per-round median 1.6181, trimmed 1.6057, per-round p10-p90 1.4694-1.7248, fused faster in 100% of 200 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 7.5% (order_gap_frac); within-window drift: fused -37.6%, unfused -43.4% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=warp-spec / unfused=clusters(num_ctas=2); axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 557/208, unfused 323/14 -- 37% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM2 BK2048 BE256 w8 s2 | gemm: BM16 BK64 BE128 w8 s4 CTAS2); ceiling for this cell 1.436x, traffic_ratio_model 1.436x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0751 ms, bf16 0.0133 ms, torch reference chain 0.2690 ms; MEASURED ON GPU 59aa5198 (family f04f05), harness floor +37.669 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1203,BM16 BK128 BE256 NBK256 w8 s3 WS,0.2346,1.9568,3,add+rmsnorm (fusion #3 already applied),0.0237,BM2 BK1024 BE256 EVICT1 w8 s2,router GEMM (fp32),0.0349,BM32 BK64 BE128 w8 s4 CTAS2,sigmoid + noaux_tc top-8,0.0222,BM2 BK32 BE256 w2 s2,"FLAG(summary.json): ""SEQUENTIAL: arms were not interleaved A/B/A/B, so monotone clock or thermal drift does not cancel in this ratio""; that flag fires on the row's `paired: false` field, not on the protocol: this cell's own pair_meta records impl=common.bench_pair, interleaved=true, with the leading arm alternating every repetition -- what is sequential is the STATISTIC (ratio of the two arms' medians), not the arm order; FLAG(summary.json): ""ABOVE CEILING: 1.951x vs modelled ceiling 1.436x""; speedup_source=speedup: the published ratio is unfused.p50/fused.p50 (a ratio of medians), NOT the paired per-round statistic; paired statistic from the SAME interleaved run: paired per-round median 1.9568, trimmed 1.9681, per-round p10-p90 1.6264-2.2869, fused faster in 100% of 200 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 15.5% (order_gap_frac); within-window drift: fused -35.7%, unfused -49.5% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=warp-spec / unfused=clusters(num_ctas=2); axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 301/102, unfused 365/14 -- 34% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM2 BK2048 BE256 w8 s2 | gemm: BM16 BK64 BE128 w8 s4 CTAS2 | topk: BM2 BK32 BE256 w2 s2); ceiling for this cell 1.436x, traffic_ratio_model 1.436x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0751 ms, bf16 0.0133 ms, torch reference chain 0.2690 ms; MEASURED ON GPU 59aa5198 (family f04f05), harness floor +37.669 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#6 Up_Gate + SwiGLU,-,sglang fused_moe_kernel (GEMM1) + silu_and_mul,yes - GEMM + activation epilogue,2.8464,BM32 BN64 BK128 GM1 w2 s3 TMA WS,2.8914,1.0159,2,"w13 grouped GEMM -> [rows, 2I]",2.8771,BM32 BN256 BK128 GM8 w8 s3 WS,silu_and_mul,0.0188,BM32 BN128 w16 s1,,,,"FLAG(summary.json): ""SEQUENTIAL: arms were not interleaved A/B/A/B, so monotone clock or thermal drift does not cancel in this ratio""; that flag fires on the row's `paired: false` field, not on the protocol: this cell's own pair_meta records impl=common.bench_pair, interleaved=true, with the leading arm alternating every repetition -- what is sequential is the STATISTIC (ratio of the two arms' medians), not the arm order; speedup_source=speedup: the published ratio is unfused.p50/fused.p50 (a ratio of medians), NOT the paired per-round statistic; paired statistic from the SAME interleaved run: paired per-round median 1.0159, trimmed 1.0160, per-round p10-p90 1.0137-1.0198, fused faster in 99% of 200 rounds; CO-TENANCY: run_h200's post-family check first saw foreign processes on this GPU after f06 (up to 5.1 GB of another tenant's allocations) -- this family's measurements are not certified to have had the card to themselves; Hopper axes selected by the tuner: fused=TMA, warp-spec / unfused=warp-spec; tuner budget per arm (timed/failed): fused 232/69, unfused 485/41 -- 30% of the fused arm's configs failed vs 8% of the unfused arm's; per-kernel unfused times are measured at the SAME configs the chain ran (gemm_cfg / act_cfg), each behind its own L2 flush, so they need not sum to unfused_total_ms; SMEM: fused winner 120 KB, unfused winner 216 KB, the unfused winner's tile IF FUSED would need 408 KB against a 227 KB opt-in ceiling -- so the fused side still cannot reach the unfused winner's tile, the same constraint C500 hit at a 4x smaller ceiling; kernel stats: fused regs 246 spills 0 smem 81952 B | unfused GEMM regs 128 spills 0 smem 147456 B; throughput: fused 72.4 TF/s, unfused 71.3 TF/s, vendor grouped BLAS 7.9061 ms (26.1 TF/s); MEASURED ON GPU 59aa5198 (family f06), harness floor +37.669 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#8 Down + Expert Merge,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,1.4936,gemm: BM32 BN256 BK128 GM1 w4 s2 CTAS2 | seed: torch,1.4925,0.9994,2,"w2 grouped down GEMM -> [rows, H]",1.5042,BM32 BN256 BK128 GM8 w4 s2 CTAS2,moe_sum (expert merge over top-8),0.0255,BM1 BD1024 w8 s1,,,,"FLAG(summary.json): ""SEQUENTIAL: arms were not interleaved A/B/A/B, so monotone clock or thermal drift does not cancel in this ratio""; that flag fires on the row's `paired: false` field, not on the protocol: this cell's own pair_meta records impl=common.bench_pair, interleaved=true, with the leading arm alternating every repetition -- what is sequential is the STATISTIC (ratio of the two arms' medians), not the arm order; speedup_source=speedup: the published ratio is unfused.p50/fused.p50 (a ratio of medians), NOT the paired per-round statistic; paired statistic from the SAME interleaved run: paired per-round median 0.9994, trimmed 0.9994, per-round p10-p90 0.9968-1.0019, fused faster in 38% of 200 rounds; hwinfo bracket flagged the measurement window SUSPECT: new throttle reasons: SwPowerCap; CO-TENANCY: run_h200's post-family check first saw foreign processes on this GPU after f06 (up to 5.1 GB of another tenant's allocations) -- this family's measurements are not certified to have had the card to themselves; Hopper axes selected by the tuner: fused=clusters(num_ctas=2) / unfused=clusters(num_ctas=2); tuner budget per arm (timed/failed): fused 243/41, unfused 370/27 -- 17% of the fused arm's configs failed vs 7% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; fused arm = zero/residual seed + atomic-merge GEMM, where the seed alone is 0.0073 ms and the atomic GEMM alone 1.4892 ms, and fused_ms includes both. bf16 atomics make the fused output non-deterministic (LOG-08 F6); atomic accumulator 6291456 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 14.2905 ms, GEMM+merge 14.3149 ms; MEASURED ON GPU 59aa5198 (family f08f09), harness floor +37.669 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#8 Down + Expert Merge,token-major,none (custom),"partial - fused epilogue, but a different grid",21.7631,BM16 BN64 BK256 w4 s3 USE_DOT=True,1.4927,0.0686,2,"w2 grouped down GEMM -> [rows, H]",1.5042,BM32 BN256 BK128 GM8 w4 s2 CTAS2,moe_sum (expert merge over top-8),0.0255,BM1 BD1024 w8 s1,,,,"FLAG(summary.json): ""SEQUENTIAL: arms were not interleaved A/B/A/B, so monotone clock or thermal drift does not cancel in this ratio""; that flag fires on the row's `paired: false` field, not on the protocol: this cell's own pair_meta records impl=common.bench_pair, interleaved=true, with the leading arm alternating every repetition -- what is sequential is the STATISTIC (ratio of the two arms' medians), not the arm order; speedup_source=speedup: the published ratio is unfused.p50/fused.p50 (a ratio of medians), NOT the paired per-round statistic; paired statistic from the SAME interleaved run: paired per-round median 0.0686, trimmed 0.0686, per-round p10-p90 0.0684-0.0688, fused faster in 0% of 200 rounds; hwinfo bracket flagged the measurement window SUSPECT: new throttle reasons: SwPowerCap; CO-TENANCY: run_h200's post-family check first saw foreign processes on this GPU after f06 (up to 5.1 GB of another tenant's allocations) -- this family's measurements are not certified to have had the card to themselves; Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); tuner budget per arm (timed/failed): fused 30/0, unfused 370/27 -- 0% of the fused arm's configs failed vs 7% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; scored against the EXPERT-major baseline; part of any win is the grid change, not the fusion (LOG-08 F3); atomic accumulator 6291456 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 14.2905 ms, GEMM+merge 14.3149 ms; MEASURED ON GPU 59aa5198 (family f08f09), harness floor +37.669 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#9 Down + Expert Merge + ResAdd2,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,1.4962,gemm: BM32 BN256 BK128 GM1 w4 s2 CTAS2 | seed: torch,1.5072,1.0076,3,"w2 grouped down GEMM -> [rows, H]",1.5042,BM32 BN256 BK128 GM8 w4 s2 CTAS2,moe_sum (expert merge over top-8),0.0255,BM1 BD1024 w8 s1,residual add 2,0.0132,BM8 BN256 w16 s1,"FLAG(summary.json): ""SEQUENTIAL: arms were not interleaved A/B/A/B, so monotone clock or thermal drift does not cancel in this ratio""; that flag fires on the row's `paired: false` field, not on the protocol: this cell's own pair_meta records impl=common.bench_pair, interleaved=true, with the leading arm alternating every repetition -- what is sequential is the STATISTIC (ratio of the two arms' medians), not the arm order; speedup_source=speedup: the published ratio is unfused.p50/fused.p50 (a ratio of medians), NOT the paired per-round statistic; paired statistic from the SAME interleaved run: paired per-round median 1.0076, trimmed 1.0076, per-round p10-p90 1.0049-1.0105, fused faster in 100% of 200 rounds; CO-TENANCY: run_h200's post-family check first saw foreign processes on this GPU after f06 (up to 5.1 GB of another tenant's allocations) -- this family's measurements are not certified to have had the card to themselves; Hopper axes selected by the tuner: fused=clusters(num_ctas=2) / unfused=clusters(num_ctas=2); tuner budget per arm (timed/failed): fused 233/41, unfused 502/27 -- 18% of the fused arm's configs failed vs 5% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; this row's own unfused chain ran a different GEMM mapping (BM32 BN256 BK128 GM1 w4 s3 CTAS2), so unfused_k1_ms is not a decomposition of this row's unfused_total_ms; fused arm = zero/residual seed + atomic-merge GEMM, where the seed alone is 0.0073 ms and the atomic GEMM alone 1.4892 ms, and fused_ms includes both. bf16 atomics make the fused output non-deterministic (LOG-08 F6); unfused_total is the 3-kernel chain, and the strictly better 2-kernel baseline (moe_sum with ADD_RESIDUAL) runs 1.4938 ms -> speedup 0.9984x, which is the honest comparison; atomic accumulator 6291456 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 14.2905 ms, GEMM+merge 14.3149 ms; MEASURED ON GPU 59aa5198 (family f08f09), harness floor +37.669 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
