fusion,variant,replicates,coda_correspondence,fused_ms,fused_mapping,unfused_total_ms,speedup,n_unfused_kernels,unfused_k1_name,unfused_k1_ms,unfused_k1_mapping,unfused_k2_name,unfused_k2_ms,unfused_k2_mapping,unfused_k3_name,unfused_k3_ms,unfused_k3_mapping,notes
#1 o_proj + ResAdd,triton,"vendor cuBLAS-equivalent epilogue (torch.addmm, beta=1)",yes - GEMM + residual-add epilogue,0.631,BM128 BN256 BK32 GM1 SK1 w8 s4 TMA,0.6354,1.008,2,o_proj GEMM,,BM128 BN256 BK32 GM1 SK1 w8 s4,residual add (elementwise),0.025,BLK1024 w1 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 1.0080, trimmed 1.0079, per-round p10-p90 0.9971-1.0186, fused faster in 86% of 120 rounds; hwinfo bracket flagged the measurement window SUSPECT: SM clock moved -2.3% (1980 -> 1935 MHz), new throttle reasons: SwPowerCap; Hopper axes selected by the tuner: fused=TMA / unfused=none; unfused_k1_ms is EMPTY on purpose: bench_f01 times the unfused arm only as a chain (GEMM + epilogue), so the o_proj GEMM alone was never measured on this device; unfused_k2_ms is the epilogue's own tuned standalone best, behind its own L2 flush, so it does not sum to unfused_total_ms; tuner budget per arm (timed/failed): fused 248/7, unfused 249/17 -- 3% of the fused arm's configs failed vs 7% of the unfused arm's; vendor cuBLAS line on the same tensors: addmm(beta=1) 0.5821 ms vs mm+add 0.5835 ms -> 1.0029x (paired); triton fused is 0.923x the vendor fused time; MEASURED ON GPU b2318e71 (family f01), harness floor +36.914 us"
#3 ResAdd + RMSNorm,-,sglang fused_add_rmsnorm,no - no GEMM involved,0.1007,BN8192 ROWS1 w4 s1,0.1911,1.9597,2,residual add,0.0242,BN8192 ROWS1 EVICT1 CAP2112 w4 s2,rmsnorm,0.0185,BN8192 ROWS1 EVICT1 w8 s2,,,,"FLAG(summary.json): ""DRIFT: paired 1.9597x vs ratio-of-medians 1.8974x differ by >2%; the machine moved during this cell""; FLAG(summary.json): ""ABOVE CEILING: 1.960x vs modelled ceiling 1.250x""; paired statistic from the SAME interleaved run: paired per-round median 1.9597, trimmed 1.9506, per-round p10-p90 1.7929-2.1076, fused faster in 100% of 120 rounds; within-window drift: fused -41.2%, unfused -34.9% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): none -- NOT offered: TMA, warp specialization, clusters (this kernel module advertises no cfg key for it); tuner budget per arm (timed/failed): fused 192/0, unfused 402/0 -- 0% of the fused arm's configs failed vs 0% of the unfused arm's; per-kernel times are each kernel's own tuned best, while the chain ran jointly re-tuned configs (add: BN8192 ROWS1 EVICT1 CAP2112 w4 s2 | norm: BN8192 ROWS1 w4 s2) -- a stage the unfused side gets and the fused side cannot use; fused output bitwise-identical to unfused: True; DRAM-traffic ceiling 1.25x (MODELLED), h1 (25165824 B) fits this device's 60 MB L2: True; reference lines: torch eager 0.2156 ms, torch.compile 0.1094 ms; MEASURED ON GPU b2318e71 (family f03), harness floor +36.914 us"
#5 RMSNorm + Router,F5,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1457,BM16 BK128 BE256 NBK256 w16 s3,0.2135,1.4694,2,rmsnorm,0.0196,BM1 BK2048 BE256 w8 s2,router GEMM (fp32),0.0438,BM16 BK128 BE256 w4 s3,,,,"paired statistic from the SAME interleaved run: paired per-round median 1.4694, trimmed 1.4740, per-round p10-p90 1.3720-1.5898, fused faster in 100% of 120 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 5.3% (order_gap_frac); within-window drift: fused -21.6%, unfused -29.8% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 557/208, unfused 323/14 -- 37% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM1 BK2048 BE256 w8 s2 | gemm: BM16 BK128 BE256 w4 s3); ceiling for this cell 1.583x, traffic_ratio_model 1.453x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.1833 ms, bf16 0.0213 ms, torch reference chain 0.4505 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us"
#5 RMSNorm + Router + TopK,F5_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1486,BM16 BK128 BE256 NBK256 w16 s3,0.2996,2.0781,3,rmsnorm,0.0196,BM1 BK2048 BE256 w8 s2,router GEMM (fp32),0.0438,BM16 BK128 BE256 w4 s3,sigmoid + noaux_tc top-8,0.0214,BM32 BK32 BE256 w32 s2,"FLAG(summary.json): ""DRIFT: paired 2.0781x vs ratio-of-medians 2.0159x differ by >2%; the machine moved during this cell""; FLAG(summary.json): ""ABOVE CEILING: 2.078x vs modelled ceiling 1.583x""; paired statistic from the SAME interleaved run: paired per-round median 2.0781, trimmed 2.0537, per-round p10-p90 1.8169-2.2536, fused faster in 100% of 120 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 13.2% (order_gap_frac); within-window drift: fused -24.4%, unfused -34.1% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 301/101, unfused 365/14 -- 34% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM1 BK2048 BE256 w8 s2 | gemm: BM16 BK128 BE256 w4 s3 | topk: BM32 BK32 BE256 w32 s2); ceiling for this cell 1.583x, traffic_ratio_model 1.453x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.1833 ms, bf16 0.0213 ms, torch reference chain 0.4505 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us"
#4 ResAdd + RMSNorm + Router,F4,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1685,BM16 BK128 BE256 w16 s3,0.2391,1.3792,2,add+rmsnorm (fusion #3 already applied),0.0309,BM2 BK1024 BE256 EVICT1 w8 s2,router GEMM (fp32),0.0438,BM16 BK128 BE256 w4 s3,,,,"FLAG(summary.json): ""DRIFT: paired 1.3792x vs ratio-of-medians 1.4189x differ by >2%; the machine moved during this cell""; paired statistic from the SAME interleaved run: paired per-round median 1.3792, trimmed 1.3683, per-round p10-p90 1.2614-1.5043, fused faster in 100% of 120 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 3.4% (order_gap_frac); within-window drift: fused -25.4%, unfused -30.2% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 557/208, unfused 323/14 -- 37% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM2 BK1024 BE256 EVICT1 w8 s2 | gemm: BM16 BK128 BE256 w4 s3); ceiling for this cell 1.544x, traffic_ratio_model 1.475x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.1833 ms, bf16 0.0213 ms, torch reference chain 0.5895 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us"
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1583,BM16 BK128 BE256 w16 s3,0.2825,1.8948,3,add+rmsnorm (fusion #3 already applied),0.0309,BM2 BK1024 BE256 EVICT1 w8 s2,router GEMM (fp32),0.0438,BM16 BK128 BE256 w4 s3,sigmoid + noaux_tc top-8,0.0214,BM32 BK32 BE256 w32 s2,"FLAG(summary.json): ""DRIFT: paired 1.8948x vs ratio-of-medians 1.7851x differ by >2%; the machine moved during this cell""; FLAG(summary.json): ""ABOVE CEILING: 1.895x vs modelled ceiling 1.544x""; paired statistic from the SAME interleaved run: paired per-round median 1.8948, trimmed 1.8890, per-round p10-p90 1.6300-2.1275, fused faster in 100% of 120 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 15.4% (order_gap_frac); within-window drift: fused -22.4%, unfused -34.6% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 301/101, unfused 365/14 -- 34% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM2 BK1024 BE256 EVICT1 w8 s2 | gemm: BM16 BK128 BE256 w4 s3 | topk: BM32 BK32 BE256 w16 s2); ceiling for this cell 1.544x, traffic_ratio_model 1.475x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.1833 ms, bf16 0.0213 ms, torch reference chain 0.5895 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us"
#6 Up_Gate + SwiGLU,-,sglang fused_moe_kernel (GEMM1) + silu_and_mul,yes - GEMM + activation epilogue,3.4545,BM128 BN128 BK64 GM8 w8 s3 TMA,3.2747,0.9483,2,"w13 grouped GEMM -> [rows, 2I]",3.2452,BM128 BN128 BK64 GM1 w8 s3 TMA,silu_and_mul,0.0843,BM8 BN128 w4 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 0.9483, trimmed 0.9493, per-round p10-p90 0.9467-0.9656, fused faster in 0% of 120 rounds; within-window drift: fused 9.0%, unfused 10.5% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=TMA / unfused=TMA; tuner budget per arm (timed/failed): fused 226/47, unfused 505/24 -- 21% of the fused arm's configs failed vs 5% of the unfused arm's; per-kernel unfused times are measured at the SAME configs the chain ran (gemm_cfg / act_cfg), each behind its own L2 flush, so they need not sum to unfused_total_ms; SMEM: fused winner 144 KB, unfused winner 96 KB, the unfused winner's tile IF FUSED would need 144 KB against a 227 KB opt-in ceiling; kernel stats: fused regs 169 spills 0 smem 147512 B | unfused GEMM regs 95 spills 0 smem 98328 B; throughput: fused 238.7 TF/s, unfused 251.8 TF/s, vendor grouped BLAS 7.7900 ms (105.9 TF/s); MEASURED ON GPU b2318e71 (family f06), harness floor +36.914 us"
#8 Down + Expert Merge,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,1.8893,gemm: BM128 BN128 BK64 GM1 w8 s3 TMA | seed: torch,1.7688,0.9366,2,"w2 grouped down GEMM -> [rows, H]",1.7234,BM128 BN128 BK64 GM1 w8 s3 TMA,moe_sum (expert merge over top-8),0.0766,BM1 BD2048 w16 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 0.9366, trimmed 0.9365, per-round p10-p90 0.9338-0.9389, fused faster in 0% of 120 rounds; Hopper axes selected by the tuner: fused=TMA / unfused=TMA; tuner budget per arm (timed/failed): fused 253/47, unfused 380/24 -- 19% of the fused arm's configs failed vs 6% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; fused arm = zero/residual seed + atomic-merge GEMM, where the seed alone is 0.0126 ms and the atomic GEMM alone 1.8593 ms, and fused_ms includes both. bf16 atomics make the fused output non-deterministic (LOG-08 F6); atomic accumulator 25165824 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 14.0972 ms, GEMM+merge 14.1357 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us"
#8 Down + Expert Merge,token-major,none (custom),"partial - fused epilogue, but a different grid",86.9187,BM16 BN64 BK256 w4 s3 USE_DOT=True,1.7125,0.0197,2,"w2 grouped down GEMM -> [rows, H]",1.7234,BM128 BN128 BK64 GM1 w8 s3 TMA,moe_sum (expert merge over top-8),0.0766,BM1 BD2048 w16 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 0.0197, trimmed 0.0197, per-round p10-p90 0.0197-0.0197, fused faster in 0% of 120 rounds; hwinfo bracket flagged the measurement window SUSPECT: new throttle reasons: SwPowerCap; Hopper axes selected by the tuner: fused=none / unfused=TMA; tuner budget per arm (timed/failed): fused 30/0, unfused 380/24 -- 0% of the fused arm's configs failed vs 6% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; scored against the EXPERT-major baseline; part of any win is the grid change, not the fusion (LOG-08 F3); atomic accumulator 25165824 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 14.0972 ms, GEMM+merge 14.1357 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us"
#9 Down + Expert Merge + ResAdd2,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,1.8953,gemm: BM128 BN128 BK64 GM1 w8 s3 TMA | seed: torch,1.7967,0.948,3,"w2 grouped down GEMM -> [rows, H]",1.7234,BM128 BN128 BK64 GM1 w8 s3 TMA,moe_sum (expert merge over top-8),0.0766,BM1 BD2048 w16 s1,residual add 2,0.0309,BM8 BN256 w16 s1,"paired statistic from the SAME interleaved run: paired per-round median 0.9480, trimmed 0.9480, per-round p10-p90 0.9460-0.9507, fused faster in 0% of 120 rounds; Hopper axes selected by the tuner: fused=TMA / unfused=TMA; tuner budget per arm (timed/failed): fused 243/47, unfused 512/24 -- 19% of the fused arm's configs failed vs 5% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; fused arm = zero/residual seed + atomic-merge GEMM, where the seed alone is 0.0126 ms and the atomic GEMM alone 1.8593 ms, and fused_ms includes both. bf16 atomics make the fused output non-deterministic (LOG-08 F6); unfused_total is the 3-kernel chain, and the strictly better 2-kernel baseline (moe_sum with ADD_RESIDUAL) runs 1.7788 ms -> speedup 0.9385x, which is the honest comparison; atomic accumulator 25165824 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 14.0972 ms, GEMM+merge 14.1357 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us"
