regime,fusion_set,config_id,run1_ms,run2_ms,best_ms,speedup_vs_unfused,tied_with_best_run1,tied_with_best_run2,notes
decode_bs1,#1+#6+#9 (greedy),J_greedy_all,0.4193,0.4238,0.4193,1.2886,1,1,
decode_bs1,#1 + #10 + #11a + #11b,R_f1_f10_f11ab,0.4203,0.4213,0.4203,1.2856,1,1,
decode_bs1,#3 + #9,I_f3_f9,0.4478,0.4530,0.4478,1.2066,0,0,
decode_bs1,#4,M_f4,0.4542,0.4587,0.4542,1.1895,0,0,
decode_bs1,#10 + #11a + #11b,P_f10_f11ab,0.4635,0.4661,0.4635,1.1656,0,0,
decode_bs1,#8 + #11a + #11b,Q_f8_f11ab,0.4672,0.4723,0.4672,1.1564,0,0,
decode_bs1,#3 + #10,H_f3_f10,0.4676,0.4739,0.4676,1.1555,0,0,
decode_bs1,#3 + #8,K_f3_f8,0.4720,0.4796,0.4720,1.1448,0,0,
decode_bs1,#9,G_f9,0.4869,0.4922,0.4869,1.1098,0,0,
decode_bs1,#11a + #11b,O_f11ab,0.4929,0.4967,0.4929,1.0962,0,0,
decode_bs1,#5,L_f5,0.4956,0.5033,0.4956,1.0902,0,0,
decode_bs1,#3,B_f3,0.4965,0.5018,0.4965,1.0882,0,0,
decode_bs1,#1,C_f1,0.4976,0.5016,0.4976,1.0858,0,0,
decode_bs1,#10,E_f10,0.5090,0.5117,0.5090,1.0616,0,0,
decode_bs1,#6,D_f6,0.5109,0.5131,0.5109,1.0575,0,0,
decode_bs1,#8,F_f8,0.5145,0.5210,0.5145,1.0501,0,0,
decode_bs1,#11b,N_f11b,0.5347,0.5379,0.5347,1.0106,0,0,"contains #11b, which DOES pass the strict invariance screen at every regime in results/h200/f11_publish.json. This layer number is a whole-layer measurement from the earlier contended run (42.19 us harness floor), not the #11b microbenchmark ratio -- the microbenchmark's decode wall figures are blocked for exceeding their own launch-aware ceiling, and its published win is prefill-only"
decode_bs1,none (all unfused),A_all_unfused,0.5403,0.5434,0.5403,1.0000,0,0,
decode_bs2,#3 + #10,H_f3_f10,0.5353,0.5353,0.5353,1.0438,1,1,
