regime,fusion_set,components,sites_per_layer,ms_saved_per_layer,rank,basis,layer_total_ms,speedup_vs_unfused,layer_measurable,notes
decode_bs1,#3 + #10,#3 + #10,2+1,0.0164,1,additive estimate,,,FALSE,"#1 and #3 compete for ResAdd1 (it folds into either o_proj's epilogue or the post-attention RMSNorm, never both); #10 and #3 likewise compete for ResAdd2 (the merge tail or the next layer's input_layernorm). Sets are therefore ADDITIVE ESTIMATES from independently measured deltas, not measured combinations. additive estimate -- the C500 study measured combinations end-to-end precisely because they do NOT compose additively (LOG-11 S6: shared producers and competition for the same operation). Ranks here are indicative, not measured."
decode_bs1,#1 + #10,#1 + #10,1+1,0.0113,2,additive estimate,,,FALSE,"#1 and #3 compete for ResAdd1 (it folds into either o_proj's epilogue or the post-attention RMSNorm, never both); #10 and #3 likewise compete for ResAdd2 (the merge tail or the next layer's input_layernorm). Sets are therefore ADDITIVE ESTIMATES from independently measured deltas, not measured combinations. additive estimate -- the C500 study measured combinations end-to-end precisely because they do NOT compose additively (LOG-11 S6: shared producers and competition for the same operation). Ranks here are indicative, not measured."
decode_bs1,#3,#3,2,0.0102,3,measured,,,FALSE,
decode_bs1,#10,#10,1,0.0061,4,measured,,,FALSE,
decode_bs1,#1,#1,1,0.0051,5,measured,,,FALSE,
decode_bs1,none (all unfused),-,,0,6,-,,,FALSE,baseline
decode_bs1,#4 / #5 / #11b (router-norm family),#4/#5/#11b,,0,7,structural (0 by shared-producer argument),,,FALSE,"#4/#5/#11b fuse the post-attention RMSNorm into the router, but that norm also feeds the w13 grouped GEMM and the shared expert, so fusing it into the router does not remove it -- worth ~0 per layer unless every K=6144 consumer is fused (#11a), which needs 12 GB of w13 and is unmeasurable here. Scored 0.0 rather than by their standalone chain speedups."
decode_bs32,#3 + #10,#3 + #10,2+1,0.0225,1,additive estimate,,,FALSE,"#1 and #3 compete for ResAdd1 (it folds into either o_proj's epilogue or the post-attention RMSNorm, never both); #10 and #3 likewise compete for ResAdd2 (the merge tail or the next layer's input_layernorm). Sets are therefore ADDITIVE ESTIMATES from independently measured deltas, not measured combinations. additive estimate -- the C500 study measured combinations end-to-end precisely because they do NOT compose additively (LOG-11 S6: shared producers and competition for the same operation). Ranks here are indicative, not measured."
decode_bs32,#3,#3,2,0.0143,2,measured,,,FALSE,
decode_bs32,#1 + #10,#1 + #10,1+1,0.0123,3,additive estimate,,,FALSE,"#1 and #3 compete for ResAdd1 (it folds into either o_proj's epilogue or the post-attention RMSNorm, never both); #10 and #3 likewise compete for ResAdd2 (the merge tail or the next layer's input_layernorm). Sets are therefore ADDITIVE ESTIMATES from independently measured deltas, not measured combinations. additive estimate -- the C500 study measured combinations end-to-end precisely because they do NOT compose additively (LOG-11 S6: shared producers and competition for the same operation). Ranks here are indicative, not measured."
